ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 100 100 100 300 300 300 1000 1000 1000
1367452_at 10.363671 10.488285 10.38311 10.472101 10.430061 10.266824 10.235632 10.393458 10.348113 10.311347 10.345443 10.1548395
1367453_at 10.205838 10.245387 10.113297 10.259144 10.180267 10.148393 10.20831 10.217224 10.187322 10.311286 10.415115 10.39188
1367454_at 10.227093 10.198467 10.362086 10.22113 10.263615 10.132964 10.364833 10.343353 10.157124 10.397711 10.492593 10.371675
1367455_at 11.635587 11.65734 11.673921 11.637013 11.575806 11.67591 11.648444 11.592644 11.456132 11.785432 11.710221 11.879626
1367456_at 11.933549 12.008982 11.94591 11.996135 12.11375 11.919499 11.989198 11.943775 11.922872 12.079495 12.023819 12.013843
1367457_at 9.26344 9.239018 9.375482 9.198819 9.22538 9.242111 9.285991 9.136195 9.179469 9.289194 9.353577 9.098068
1367458_at 8.08126 8.005138 8.185812 8.151013 8.1010475 8.159288 8.050125 8.206456 8.212398 7.968235 8.035885 8.124181
1367459_at 12.141203 12.249434 12.235824 12.293057 12.283502 12.253526 12.259319 12.206553 12.210953 12.336119 12.280879 12.377694
1367460_at 11.683775 11.640606 11.693487 11.724333 11.714787 11.4641075 11.610574 11.632622 11.594447 11.757188 11.755446 11.543854
1367461_at 10.595031 10.602895 10.703778 10.774046 10.654612 10.631329 10.48008 10.683414 10.604501 10.775409 10.737716 10.729316
1367462_at 10.015155 10.43103 10.26973 10.375915 10.167103 10.419239 10.323894 10.1578865 10.684771 10.610821 10.387314 10.788223
1367463_at 11.485651 11.456252 11.298872 11.461881 11.359416 11.479546 11.364115 11.215853 11.027108 11.277686 11.294923 11.178052
1367464_at 9.549523 9.73687 9.687478 9.722138 9.646032 9.635117 9.643337 9.586823 9.593363 9.585635 9.558341 9.499167
1367465_at 10.171472 10.252579 10.147004 10.243172 10.270023 10.092372 10.17692 10.147002 10.271571 10.080553 10.273123 10.131141
1367466_at 10.2300005 10.219706 10.229794 10.29007 10.373025 10.2569475 10.346164 10.132274 10.127242 10.21911 10.267042 10.238756
1367467_at 11.551526 11.676351 11.5716505 11.731396 11.586677 11.606618 11.509777 11.619807 11.632181 11.534031 11.567415 11.66424
1367468_at 9.928304 10.171724 9.985409 10.1159315 10.047498 9.946997 10.120421 10.154975 10.072702 10.161145 10.0228815 10.049783
1367469_at 11.938883 11.803296 11.874618 11.984483 12.078767 11.797245 11.836544 11.727091 11.719936 11.784986 11.805047 11.748475
1367470_at 10.290138 10.399494 10.394319 10.248897 10.336308 10.38365 10.357059 10.303051 10.390141 10.373435 10.35491 10.304991
1367471_at 9.215017 9.261753 9.313545 9.324009 9.28028 9.203192 9.289499 9.256649 9.445224 9.419674 9.40529 9.332597
1367472_at 10.179859 10.0812235 10.302644 10.097247 10.179526 9.961211 10.188905 10.121495 10.154804 10.094125 10.29563 10.228092
1367473_at 10.062506 9.9456 9.884543 9.9804735 10.1226635 9.927693 9.935589 9.984812 10.012672 9.833933 10.001284 9.786358
1367474_at 9.4713125 9.774854 9.661267 9.787219 9.674166 9.573754 9.859675 9.771487 9.690053 9.575826 9.749247 9.574131
1367475_at 10.612439 10.560909 10.615571 10.637761 10.672939 10.690196 10.584199 10.607508 10.512243 10.420945 10.526156 10.604147
1367476_at 11.276177 11.350067 11.254783 11.421614 11.423836 11.347978 11.3176 11.438378 11.139878 11.49875 11.561756 11.490391
1367477_at 10.5018835 10.385751 10.28185 10.383754 10.2935915 10.371439 10.410721 10.331217 10.579724 10.311958 10.380208 10.248665
1367478_at 7.8048844 7.8309836 7.6933513 7.7897434 7.76885 7.795845 7.965965 7.8407645 7.6692677 7.784215 7.856232 7.8694715
1367479_at 11.229688 11.313828 11.260885 11.310822 11.332913 11.246615 11.282318 11.1101 11.261582 11.19869 11.244671 11.2259245
1367480_at 9.853332 9.955144 9.963819 10.014452 9.989883 9.823533 9.836319 9.8867445 9.910039 9.8803425 9.9566765 9.930705
1367481_at 9.651739 9.726234 9.586843 9.795168 9.718567 9.595785 9.701814 9.703274 9.755575 9.744365 9.743063 9.652951
1367482_at 9.656519 9.77228 9.585204 9.738883 9.722888 9.742083 9.662071 9.748564 9.722927 9.765282 9.6922655 9.486964
1367483_at 9.084118 9.096378 8.987477 9.20237 9.01405 8.993929 9.21223 9.138235 9.049658 9.193318 8.956082 8.957243
1367484_at 9.35198 9.503429 9.353059 9.441712 9.538206 9.469564 9.454442 9.243957 9.219186 9.374328 9.098061 9.313542
1367485_at 10.126004 10.213086 10.185306 10.235789 10.21238 10.131292 10.190997 10.103063 9.738184 10.264546 10.211283 10.135471
1367486_at 9.583062 9.697676 9.528454 9.732911 9.677266 9.591566 9.631671 9.632938 9.639426 9.607896 9.677644 9.64506
1367487_at 7.6149282 7.308 7.3374376 7.369764 7.3849063 7.2847195 7.4881425 7.2916803 7.224729 7.404839 7.378437 7.468959
1367488_at 7.7734766 8.01053 8.090454 8.210466 7.9286394 8.265522 8.143533 7.763658 7.944347 8.013754 7.70101 7.9058547
1367489_at 6.4969583 6.4644527 6.2734027 6.408799 6.71099 6.285269 6.1540785 6.577903 6.5896964 6.7081447 6.532823 6.594683
1367490_at 7.5482187 7.52087 7.444105 7.553389 7.449485 7.1971865 7.5535126 7.3664856 7.477489 7.5196595 7.616308 7.43451
1367491_at 9.513694 9.53634 9.69272 9.545404 9.636152 9.470301 9.534696 9.551152 9.453455 9.787833 9.616547 9.722832
1367492_at 9.125191 9.156401 9.07773 8.983793 9.161806 9.088251 9.0585575 9.080613 9.0530405 9.100828 9.283014 9.260267
1367493_at 9.494223 9.663654 9.642383 9.734074 9.496079 9.576937 9.537321 9.461893 9.600146 9.721405 9.51099 9.6772995
1367494_at 10.24986 10.281436 10.273176 10.213451 10.38691 10.224608 10.294923 10.254228 10.304669 10.3708935 10.25051 10.3251705
1367495_at 7.6885242 8.070503 7.996278 8.005135 8.0061455 7.847234 8.162137 8.022787 7.7843723 8.168854 8.009089 8.008233
1367496_at 11.298825 11.2208395 11.285537 11.352679 11.284568 11.195794 11.308874 11.242218 11.08166 11.408088 11.331059 11.312662
1367497_at 8.985483 8.897574 9.045197 8.907494 8.929578 8.733304 8.716419 8.975259 8.829934 8.920018 8.723841 8.724349
1367498_at 8.983194 8.92429 9.273894 9.084741 9.109815 9.221127 9.241895 8.815285 9.170469 9.106055 9.050683 8.998686
1367499_at 8.167807 8.154533 7.93529 7.9169426 7.8250546 8.179329 8.268644 7.92377 7.8552146 8.051029 7.926701 8.118895
1367500_at 10.159987 10.310174 10.2975445 10.28092 10.252466 10.138029 10.236896 10.23821 10.190762 10.141919 10.188545 10.089355
1367501_at 8.445055 8.544567 8.584118 8.685137 8.690936 8.848883 8.503089 8.532668 8.827354 8.613335 8.646273 8.652308
1367502_at 8.786297 8.801751 8.789918 8.982758 8.869167 8.860546 8.863751 8.826307 8.844595 8.950788 9.034251 9.060123
1367503_at 11.307137 11.239399 11.270172 11.31656 11.414396 11.43336 11.238716 11.368882 11.353594 11.41779 11.463971 11.347023
1367504_at 8.498163 8.029518 8.122345 8.067053 7.9212174 7.880445 8.376936 7.9728885 7.9823303 8.374006 8.291313 8.48503
1367505_at 8.3164625 8.579829 8.421543 8.844734 8.6375475 8.179328 8.251837 8.436989 8.337238 8.374117 7.970622 8.11324
1367506_at 10.193351 10.137648 10.138349 10.19745 10.215488 10.201646 10.189004 10.072531 10.300152 10.160068 10.211629 10.1152315
1367507_at 7.5866156 7.709897 7.5725555 7.607212 7.4773383 7.4598045 7.5098214 7.375821 7.520321 7.4208355 7.2547846 7.603519
1367508_at 9.07438 9.252104 9.024222 9.24215 9.140422 9.094421 9.014316 9.02022 9.15378 9.113274 9.060191 8.888542
1367509_at 9.777804 9.7635355 9.683327 9.832029 9.669517 9.674295 9.760556 9.72509 9.712962 9.695847 9.687702 9.655151
1367510_at 9.893829 10.011678 10.080631 10.087034 9.909626 9.764526 9.822886 9.950856 9.865865 10.071025 10.000329 9.885858
1367511_at 8.630039 8.536563 8.603553 8.731478 8.819881 8.444225 8.600723 8.6224 8.636212 8.581532 8.713592 8.694213
1367512_at 11.1310835 11.034158 11.0552225 11.101012 11.129911 11.160237 11.090148 11.100254 11.073462 11.146851 11.129771 11.082418
1367513_at 8.455963 8.568752 8.289381 8.426768 7.986519 7.801258 8.616164 8.51912 7.954743 8.326181 8.398332 8.490239
1367514_at 8.131775 8.142075 8.048563 8.110361 8.155624 7.7849503 8.274346 8.178962 8.239854 8.159657 8.315252 8.249475
1367515_at 7.5807867 7.646747 7.7403693 7.922213 7.946545 7.3592496 7.5364194 7.503389 7.372898 7.462488 7.636533 7.444235
1367516_at 8.992644 9.193961 9.057726 9.144387 8.975616 8.917794 9.069818 9.083723 9.086879 9.185523 8.854076 8.978178
1367517_at 7.901284 8.03332 8.091848 7.9583464 7.702792 7.9577417 7.881573 7.9325266 8.003077 8.199536 7.7453303 7.895907
1367518_at 8.738607 8.714504 8.71723 8.666965 8.651647 8.463583 8.804883 8.646689 8.645873 8.728179 8.821753 8.7506
1367519_at 8.915146 8.985104 8.969835 9.044905 8.892316 8.793573 8.92611 9.063681 8.883162 9.061063 8.8672905 8.82916
1367520_at 10.059941 9.989353 10.054298 10.2689295 10.153317 10.162569 10.075935 10.226773 10.039009 10.266905 10.152209 10.182649
1367521_at 6.721905 7.101791 7.053688 6.690257 7.17035 7.188524 6.90833 7.287023 6.956753 6.5643725 6.958661 6.9238057
1367522_at 9.131035 9.28193 9.299658 9.411497 9.249076 9.385313 9.133752 9.183866 9.176225 9.323879 9.11037 9.229261
1367523_at 9.034685 9.140969 8.988191 9.149398 9.210059 8.9611225 9.076008 8.989782 9.18487 9.389014 9.353102 9.272003
1367524_at 7.3883824 7.380102 7.4848933 7.1804914 7.257859 7.420649 7.525651 7.697251 7.393353 7.3509164 7.5056157 7.4265885
1367525_at 9.359045 9.351105 9.277241 9.626034 9.55403 9.391432 9.283617 9.341585 9.308556 9.332817 9.239421 9.294254
1367526_at 9.23788 9.188284 9.161158 9.122352 9.035254 9.256094 9.123581 9.184252 9.18057 9.188951 9.215351 9.099497
1367527_at 8.597501 8.510273 8.66332 8.465844 8.476847 8.219951 8.491885 8.506215 8.262899 8.584741 8.602883 8.415378
1367528_at 9.0743685 9.067008 9.187607 8.894175 9.004779 9.114443 9.306948 8.819431 9.074888 9.138931 8.734515 9.171366
1367529_at 9.29896 9.389353 9.450477 9.475562 9.430297 9.265712 9.315737 9.3424835 9.121087 9.303209 9.338413 9.193337
1367530_at 7.7999754 7.7206264 7.7152185 7.9224734 7.8585176 7.946285 7.6725683 7.5369883 7.6093254 7.835603 7.886701 7.607938
1367531_at 10.780905 10.691264 10.667486 10.745384 10.723092 10.657317 10.767853 10.715317 10.678951 10.73327 10.73381 10.689229
1367532_at 11.3465605 11.342092 11.338865 11.35572 11.245951 11.311316 11.310375 11.209719 11.263744 11.153781 11.101437 11.314611
1367533_at 9.029975 8.969617 8.787425 8.961661 9.1029 8.767059 8.976083 8.769966 8.991612 9.049934 9.219097 9.05617
1367534_at 7.454739 7.5100765 7.8063955 7.7504296 7.5605683 7.5060034 7.821256 7.4836097 7.820339 7.624681 7.6660614 7.6023526
1367535_at 8.444493 8.391149 8.471265 8.507219 8.450193 8.667396 8.564307 8.387037 8.602039 8.387292 8.216257 8.668482
1367536_at 8.106592 8.231352 8.025259 8.317778 8.202574 8.104991 8.257685 8.419622 8.168819 8.47481 8.593454 8.330502
1367537_at 7.585898 7.7075887 7.773879 7.9023604 7.773479 7.3632054 7.772062 7.8417063 7.8465824 7.589402 7.4226832 7.5248375
1367538_at 7.461579 7.708232 7.755883 7.7221694 7.5553813 7.554252 7.4772615 7.5339723 7.4956064 7.6290793 7.4177766 7.398076
1367539_at 8.85225 8.665531 8.37612 8.884186 8.89547 8.630103 8.8652 8.71708 8.5034075 8.823411 8.617314 8.456318
1367540_at 8.080246 7.8229623 7.8154163 8.055634 7.838934 7.7681937 8.312054 8.110511 8.112333 8.167596 8.129837 8.025174
1367541_at 8.211781 8.227387 8.289719 8.098686 7.9545984 8.201624 7.9459233 8.141972 7.8708835 8.153763 8.062187 8.173695
1367542_at 8.189293 8.116138 8.1946125 8.368038 8.255503 8.135384 8.107577 8.030621 7.9453974 8.317961 7.8592744 8.008236
1367543_at 8.724035 8.740941 8.6928215 8.574327 8.630871 8.725808 8.654433 8.518625 8.575047 8.63587 8.660204 8.554793
1367544_at 7.3445873 7.0867214 7.00575 7.2249494 7.0503416 6.2480335 7.3165197 6.888834 6.721007 7.155471 6.8182983 7.196568
1367545_at 6.8016915 6.724384 6.8516154 6.7817545 6.7951045 7.013168 7.203399 6.8207273 7.1155357 6.702912 7.121588 6.7925773
1367546_at 10.216241 10.454123 10.332213 10.324946 10.400218 10.4855795 10.350427 10.312848 10.436176 10.450589 10.283576 10.424697
1367547_at 8.209118 7.9398994 7.82105 8.139328 8.164055 7.3837953 8.030832 8.141165 7.8558745 8.035151 7.901794 7.864111
1367548_at 8.333057 8.462147 8.07641 8.393986 8.479023 8.18052 8.343473 8.002256 8.255381 8.254135 8.121728 8.149247
1367549_a_at 10.728343 10.703159 10.8698 10.853053 10.741617 10.803627 10.939378 10.752513 10.667473 10.861004 10.951518 10.965649
1367550_a_at 8.687283 8.640857 8.555768 8.607595 8.588263 8.494633 8.817693 8.876316 8.730916 8.767562 8.370723 8.581074
1367551_a_at 9.357037 9.514402 9.523089 9.606464 9.527831 9.385347 9.533694 9.5322075 9.553748 9.455848 9.644968 9.305544
1367552_at 4.228446 4.005865 4.216037 4.365824 3.9707923 4.3252683 4.2541323 4.320718 4.2107553 4.1379843 4.046624 4.4652467
1367553_x_at 12.323652 12.694391 12.489189 12.663606 12.820935 12.713307 12.627347 12.949606 13.541296 13.409608 13.342801 13.569789
1367554_at 3.9105318 4.0959196 4.1485977 3.9200144 4.118124 3.9985352 4.079547 3.9485703 4.1168947 4.1265135 4.2281246 4.002982
1367555_at 14.765634 14.709088 14.761286 14.755784 14.739185 14.743664 14.718243 14.74988 14.763247 14.732339 14.729549 14.73272
1367556_s_at 14.523743 14.505325 14.557026 14.570789 14.527423 14.524895 14.543697 14.538676 14.56485 14.541562 14.505357 14.524895
1367557_s_at 13.080562 12.89966 13.024514 12.9916725 12.960922 12.968171 13.197365 13.008094 13.03555 13.233136 13.262861 13.289917
1367558_x_at 3.1540859 3.20416 3.3330123 3.160594 3.1256347 3.1930704 3.1333501 3.0403223 3.3108475 3.2981198 3.1832843 3.2250767
1367559_at 13.004314 12.978331 12.732532 12.982244 12.943214 12.732218 13.044469 12.952914 12.995528 13.222478 13.225677 13.077518
1367560_at 12.329204 12.345064 12.2422495 12.358151 12.262264 12.282957 12.373293 12.375584 12.430437 12.440324 12.553923 12.477536
1367561_at 12.635311 12.648571 12.528727 12.692019 12.623742 12.566 12.67936 12.6208 12.758358 12.726952 12.935444 12.760931
1367562_at 8.398277 8.014919 7.9641366 8.14531 8.024422 8.016653 8.152084 8.078232 8.197511 8.012908 8.00834 8.167364
1367563_at 9.479609 9.504368 9.160092 9.423663 9.315082 9.254564 9.210117 9.232416 9.254895 9.170645 8.980471 9.167264
1367564_at 6.126438 5.77222 6.0459347 5.700383 5.817947 5.8831077 5.7694244 5.9453483 5.9402366 6.0455217 5.93481 6.107649
1367565_a_at 13.847907 13.832869 13.755395 13.832978 13.874949 13.863432 13.875417 13.788487 13.842594 13.830068 13.838916 13.856414
1367566_at 4.1212826 3.8648806 3.6624625 4.056838 4.1713295 4.043766 3.8931186 4.129714 4.0068045 4.1124334 4.1867514 3.9984455
1367567_at 12.349878 12.289261 12.299528 12.345523 12.199374 12.086907 12.331319 12.357492 12.274768 12.437235 12.525239 12.312386
1367568_a_at 9.267409 9.218399 9.546246 9.5695095 9.556379 9.494473 9.087195 9.6932 9.325549 9.273076 9.475438 8.961312
1367569_at 11.966835 11.978022 11.928034 12.152298 11.904454 11.961431 12.202415 12.162627 12.029995 12.104307 12.316818 12.189811
1367570_at 7.095586 7.364815 6.92166 7.4403863 6.9955583 6.7267776 7.2720675 6.814566 6.9968023 7.3810015 6.8637767 7.554941
1367571_a_at 4.9491596 5.2437887 5.001272 5.3039627 4.942191 5.5669174 5.0467606 5.2992477 5.2101345 5.0659733 5.358428 5.1225324
1367572_at 5.090074 4.993736 4.951459 4.9862065 4.953684 5.410554 5.1143665 5.0599976 4.988546 4.886936 5.087763 5.0656977
1367573_at 12.515865 12.467168 12.474944 12.612208 12.473961 12.407463 12.529823 12.624325 12.47137 12.645322 12.733703 12.635106
1367574_at 8.243689 8.701248 8.447114 8.358354 8.543847 8.277196 8.588853 8.613027 8.438593 8.600495 8.486563 8.663574
1367575_at 11.923508 11.674785 11.825856 11.865811 11.773688 11.730858 11.858234 11.705453 11.814275 11.776333 11.986001 11.835035
1367576_at 13.820336 13.729144 13.68386 13.790262 13.816761 13.743616 13.777124 13.723852 13.663785 13.545267 13.541594 13.632052
1367577_at 6.5865607 6.693534 6.6183934 7.3233423 6.7936625 7.3015866 7.0146775 6.3980055 7.657325 6.9388533 7.4905605 8.3113785
1367578_at 10.69401 10.589844 10.563439 10.669506 10.693736 10.589795 10.660665 10.602486 10.85405 10.829582 10.849695 10.930953
1367579_a_at 10.951561 11.313199 11.093431 11.198966 11.230284 10.923162 11.360556 11.11585 11.174717 11.43904 11.414379 11.514435
1367580_at 11.828846 11.8102045 11.829478 11.81843 11.725272 11.712692 11.819257 11.838708 11.828119 11.987885 12.171763 11.992437
1367581_a_at 6.5151024 6.6484194 6.5413566 6.1684747 6.6065927 5.880025 6.0067415 6.638136 6.249941 5.6777945 6.4905944 6.389039
1367582_at 11.98939 12.051179 11.88948 11.911938 11.995249 11.880868 12.012689 11.96888 12.095052 12.09463 12.257971 12.143765
1367583_at 12.983694 13.290394 12.965787 13.296635 13.151461 13.06729 13.150513 13.070201 13.1873865 12.974679 12.979409 12.96471
1367584_at 8.056568 8.517206 8.180643 8.404732 8.137933 8.127771 8.443214 8.44917 8.459569 8.9703865 8.876947 9.241598
