ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 10 10 10 30 30 30 100 100 100
1367452_at 10.447337 10.423027 10.293022 10.388303 10.428046 10.439515 10.160169 10.285583 10.346968 10.473924 10.241716 10.313029
1367453_at 9.858031 9.856598 9.736039 9.813205 9.796396 9.866583 9.817257 9.847517 9.89782 9.928949 9.885094 9.811329
1367454_at 10.238555 10.175439 10.088832 10.239529 10.258476 10.209977 10.114612 10.205941 10.094822 10.159597 10.121693 10.193371
1367455_at 11.552476 11.626199 11.4674015 11.406558 11.524339 11.498412 11.493612 11.500527 11.581891 11.683505 11.417602 11.513647
1367456_at 12.026072 11.88966 11.957808 11.94191 12.006973 11.951407 11.9363985 11.900241 12.048177 12.000979 11.923531 11.966796
1367457_at 9.279488 9.454527 9.206312 9.219376 9.307904 9.306095 9.181968 9.298451 9.0782 9.247515 9.228115 9.272558
1367458_at 8.186574 8.329683 8.243996 8.245475 8.152946 8.18638 8.259029 8.305468 8.16634 8.169319 8.348327 8.175285
1367459_at 12.154607 12.2665 12.124854 12.134241 12.175114 12.185833 12.071556 12.127304 12.295563 12.248832 12.200824 12.23192
1367460_at 11.537365 11.552888 11.501616 11.572384 11.569811 11.487984 11.438039 11.497047 11.458562 11.550203 11.543043 11.528342
1367461_at 10.452542 10.433084 10.403749 10.448778 10.516245 10.400673 10.187281 10.378599 10.442723 10.507189 10.404817 10.368909
1367462_at 10.423285 10.61528 10.178509 10.424254 10.739908 10.66253 10.498723 10.340495 10.994432 10.40664 10.484892 10.357216
1367463_at 11.043766 10.962555 10.872008 10.945986 10.957889 11.241955 10.978551 10.945714 10.890165 11.131012 10.819755 10.858252
1367464_at 9.701414 9.719535 9.503426 9.599185 9.738544 9.57492 9.4359255 9.653943 9.650115 9.574025 9.450646 9.388131
1367465_at 10.28871 10.176923 10.080129 10.378584 10.274284 10.202964 10.262736 10.340776 10.222314 10.100994 10.246065 10.191021
1367466_at 10.260541 10.217912 10.236738 10.272559 10.282278 10.163875 10.2061615 10.174051 10.120957 10.189463 10.265099 10.154411
1367467_at 11.571333 11.537213 11.55563 11.593437 11.569538 11.512944 11.625033 11.619849 11.729393 11.689733 11.61586 11.711182
1367468_at 9.888155 9.817468 9.528484 9.805911 9.820916 9.765928 9.7372675 9.572696 9.662007 9.690723 9.639695 9.732177
1367469_at 11.842318 11.845103 11.610786 11.840807 11.8592 11.86999 11.74342 11.672799 11.528646 11.691443 11.700988 11.875219
1367470_at 10.296664 10.338925 10.256319 10.279666 10.342671 10.129969 10.224298 10.383126 10.409203 10.238476 10.182769 10.360732
1367471_at 8.868697 8.848675 8.91806 9.127289 9.049354 8.983368 8.982549 8.956115 8.820878 9.017206 8.966065 8.859699
1367472_at 10.3583355 10.318135 10.355389 10.353676 10.351632 10.402197 10.377838 10.234472 10.283068 10.301387 10.236407 10.153946
1367473_at 9.922242 9.865387 9.821144 10.002998 9.957498 10.044578 9.898071 9.785151 9.638693 9.906077 9.859806 9.969402
1367474_at 10.075164 9.97557 9.801624 10.000776 10.075335 9.85679 9.836414 9.954466 9.966052 10.041481 9.975508 10.140839
1367475_at 10.601797 10.580673 10.540817 10.665983 10.691588 10.621468 10.696304 10.717035 10.654703 10.53967 10.7007 10.759263
