ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12
Dose 0 0 0 100 100 100 300 300 300 1000 1000
1367452_at 10.213954 10.262602 10.258553 10.266288 10.205811 10.326801 10.383064 10.278386 10.348494 10.3156805 10.288727
1367453_at 10.095367 10.027262 9.951354 9.9413595 10.025435 9.980528 9.938543 10.050857 9.991553 9.868391 9.874893
1367454_at 10.176753 10.069543 10.193863 10.146954 10.144637 9.996483 10.176242 10.076271 10.18951 9.961414 10.12547
1367455_at 11.526973 11.503095 11.376416 11.508632 11.385053 11.401388 11.497223 11.480637 11.585767 11.482888 11.398246
1367456_at 11.771611 11.871979 11.806942 11.890681 11.764597 11.897143 11.91841 11.891157 11.915925 11.827123 11.931683
1367457_at 9.296012 9.312717 9.233611 9.157119 9.197086 9.028276 9.138469 9.173195 9.191872 9.040788 9.11289
1367458_at 8.354623 8.464839 8.275871 8.286066 8.377178 8.417027 8.270632 8.230612 8.334794 8.195986 8.181522
1367459_at 12.243119 12.228415 12.212228 12.247363 12.259786 12.25964 12.240081 12.19042 12.28254 12.242075 12.154512
1367460_at 11.421647 11.478916 11.446757 11.420807 11.367495 11.426174 11.431469 11.497723 11.424045 11.426855 11.511098
1367461_at 10.535837 10.543442 10.570197 10.539344 10.647718 10.487471 10.644997 10.507677 10.648777 10.44454 10.500526
1367462_at 10.490397 10.176175 10.561926 10.443471 10.444121 9.923355 10.837957 10.118525 10.564793 10.316714 10.064464
1367463_at 11.104194 11.208957 11.238903 11.308527 10.895306 11.335273 11.010162 10.92619 11.232011 10.9272175 11.21569
1367464_at 9.349186 9.387329 9.405696 9.450678 9.329518 9.410725 9.4617815 9.483416 9.538807 9.431946 9.462076
1367465_at 10.16138 10.023059 10.109313 10.107457 10.140796 9.996216 10.128298 10.064497 10.0796795 10.002743 9.861063
1367466_at 10.490077 10.465916 10.418626 10.408055 10.410611 10.318191 10.3922205 10.403325 10.501335 10.502236 10.498813
1367467_at 11.43155 11.441017 11.364019 11.4311075 11.296472 11.459044 11.400957 11.460288 11.410739 11.553762 11.375616
1367468_at 9.784814 9.783074 9.966769 9.849048 9.770665 9.980524 10.036255 9.805105 9.984812 9.939521 9.884848
1367469_at 11.9911175 11.929619 11.8400345 11.95841 11.951106 11.9630375 11.93038 12.025104 12.015248 11.893023 11.962229
1367470_at 10.3424015 10.30442 10.109815 10.33987 10.404476 10.221649 10.4411125 10.3997345 10.286812 10.302617 10.08334
1367471_at 9.029574 9.095577 9.087132 9.037627 9.072316 8.87829 9.023133 8.963805 9.1139345 9.11931 9.225617
1367472_at 10.28992 10.378222 10.31974 10.287528 10.266244 10.261276 10.163486 10.22001 10.29994 10.30517 10.186239
1367473_at 9.718535 9.913004 9.707558 9.816974 9.88531 9.908555 9.827388 9.976284 9.848222 9.915948 10.09414
1367474_at 9.791343 9.782128 9.744631 9.81224 9.755365 9.69823 9.860872 9.899828 9.9125395 9.742621 9.725584
1367475_at 10.635052 10.668846 10.613597 10.747061 10.636746 10.602453 10.764585 10.627315 10.635809 10.59369 10.611919
1367476_at 11.138021 11.186049 11.218288 11.252184 11.170376 11.252736 11.058272 11.127304 11.138622 11.222724 11.123091
1367477_at 10.127949 9.9645815 10.052091 10.041155 10.095003 10.025331 10.057175 10.100354 10.058476 9.809193 9.969044
1367478_at 7.7284636 7.8789477 7.93428 7.847614 7.872449 7.637679 7.6720433 7.934199 7.959255 7.734437 7.8218026
1367479_at 11.259003 11.233837 11.339463 11.218541 11.272756 11.141012 11.244672 11.19952 11.147681 11.136945 11.139408
1367480_at 9.599923 9.529016 9.634315 9.612424 9.682196 9.599861 9.699639 9.640435 9.731866 9.576599 9.714099
1367481_at 9.367531 9.394435 9.413218 9.33465 9.33265 9.370162 9.421409 9.306696 9.405672 9.271161 9.487628
1367482_at 9.386676 9.350327 9.529566 9.40004 9.323337 9.2272 9.571748 9.313052 9.369266 9.260202 9.256121
1367483_at 8.844124 8.8557005 8.935565 9.116507 8.940151 8.909876 8.941559 9.198975 8.874178 8.896826 8.832682
1367484_at 8.919126 9.150301 9.0717125 9.312599 9.122231 9.202216 9.083519 9.246634 9.190771 9.198686 9.378653
1367485_at 10.065213 10.10165 10.067485 10.19666 10.066847 10.013926 10.094535 10.094402 10.143678 10.079431 10.140805
1367486_at 9.622949 9.727385 9.4548025 9.669887 9.634859 9.774955 9.628489 9.637084 9.560712 9.487032 9.597378
1367487_at 7.5122056 7.446876 7.4761333 7.326685 7.338013 7.449292 7.470979 7.2298846 7.545543 7.5348797 7.228415
1367488_at 8.338792 8.0278 8.104936 8.047085 8.136976 7.7619004 8.259194 8.170852 8.097013 7.9256115 8.228859
1367489_at 6.590036 6.458134 6.4279904 6.49139 6.3464026 6.521641 6.413412 6.734344 6.3481956 6.6723447 6.6012106
1367490_at 7.432703 7.3586054 7.338318 7.2709055 7.3515882 7.3554277 7.454674 7.528231 7.3566103 7.320106 7.3749585
1367491_at 9.419079 9.50117 9.437201 9.538722 9.389844 9.379461 9.665914 9.478915 9.615977 9.388936 9.557269
1367492_at 8.94642 9.008006 9.017574 9.118265 9.030862 9.006484 9.062395 9.12233 9.0534315 8.962756 8.9574375
1367493_at 9.693038 9.605515 9.557814 9.478621 9.656222 9.72147 9.6306715 9.493385 9.650875 9.4893875 9.548755
1367494_at 10.136509 10.059536 10.185865 10.103558 10.094185 10.108187 10.195023 10.129467 10.175842 10.150576 10.297524
1367495_at 7.429518 7.505995 7.5630093 7.496155 7.4464016 7.5164733 7.3465166 7.6655407 7.3638625 7.3499765 7.506744
1367496_at 11.304429 11.125101 11.132395 11.203373 11.07792 11.195794 11.191575 11.2008915 11.235175 11.198468 11.134535
1367497_at 8.766606 8.7292385 8.692045 8.650775 8.729133 8.703652 8.720486 8.744637 8.690302 8.740146 8.633781
1367498_at 9.133769 9.031974 8.85044 9.014279 9.054437 8.892236 8.986252 9.073346 8.916051 9.100791 8.9866905
1367499_at 8.195927 8.080658 8.049377 7.929274 8.039232 8.090183 8.082603 8.214649 7.924195 7.9559608 8.214113
1367500_at 9.997164 10.026695 10.0566435 10.136205 10.022322 10.04897 9.957487 10.065478 10.066885 9.997129 9.984862
1367501_at 8.658174 8.584119 8.6086445 8.707127 8.639758 8.54357 8.753548 8.638726 8.618532 8.462634 8.662859
1367502_at 8.373419 8.574317 8.443289 8.423743 8.367464 8.345013 8.252657 8.380674 8.51118 8.463863 8.628048
1367503_at 11.153069 11.200281 11.171255 11.180367 11.109164 11.105052 11.196832 10.996543 11.168278 11.11827 11.041162
1367504_at 8.275343 8.142452 8.126802 8.221859 8.055048 8.260159 8.100479 8.318334 8.288681 8.067484 8.463522
1367505_at 8.315799 8.577342 8.319756 8.417579 8.27135 8.592401 8.373164 8.712012 8.3304405 8.3956585 8.294891
1367506_at 9.941784 9.952604 10.025122 9.832451 9.907797 9.877102 9.814556 9.875075 9.909795 9.715513 9.830619
1367507_at 7.1509814 7.1745133 7.368284 7.287691 7.163234 7.3602605 7.0744996 7.0943103 7.2247615 6.9370055 7.3620467
1367508_at 8.715412 8.704851 8.55973 8.593643 8.678707 8.5852375 8.64691 8.617693 8.752785 8.382033 8.510169
1367509_at 9.465498 9.705249 9.655282 9.64905 9.527294 9.522684 9.4801445 9.58186 9.527992 9.492016 9.575329
1367510_at 9.607743 9.763654 9.747791 9.708774 9.528293 9.722341 9.729944 9.662498 9.624396 9.697011 9.663196
1367511_at 8.669422 8.72053 8.77876 8.590485 8.560788 8.619337 8.645395 8.572806 8.702646 8.6474495 8.81123
1367512_at 11.037786 11.021131 11.037067 11.090593 10.936587 10.910468 11.0111885 10.921954 10.96237 10.857131 10.814793
1367513_at 8.564396 8.437309 8.216344 8.5117855 8.08471 8.307998 8.548381 8.270336 8.318092 7.999694 8.54356
1367514_at 7.9625864 8.119784 8.071764 8.025788 7.915842 8.3246975 8.136877 8.093554 8.206216 7.975503 8.074437
1367515_at 7.7993712 7.753946 7.74888 7.891953 7.694576 7.578316 7.754084 7.695007 7.944312 7.5967193 8.214294
1367516_at 8.938727 8.965694 8.9886465 9.009163 8.992958 8.923126 9.10214 9.077576 9.093915 8.8734665 9.006136
1367517_at 7.8770494 7.818121 7.7371025 7.8363333 7.843302 7.759432 7.8851876 7.896677 7.9247327 7.7883563 7.6047263
1367518_at 8.732898 8.75683 8.717761 8.826079 8.729597 8.736257 8.652479 8.666397 8.7285 8.687523 8.568761
1367519_at 8.784874 8.690797 8.582682 8.787166 8.569088 8.609773 8.713479 8.737581 8.68199 8.569043 8.683587
1367520_at 9.814528 10.038204 9.875255 9.971228 9.8897915 10.111338 9.899975 10.0547695 10.0141735 10.086937 10.058607
1367521_at 7.10244 7.3228374 7.424725 6.9890614 7.0126147 7.2021685 7.1947575 7.371998 7.5092797 7.083973 7.523275
1367522_at 9.175807 9.195793 9.326352 9.201764 9.346445 9.416303 9.423899 9.348522 9.304627 9.13981 9.183191
1367523_at 8.585832 8.78348 8.842344 8.727541 8.680327 8.698616 8.785903 8.643663 8.756205 8.731706 9.0828495
1367524_at 7.5842414 7.684114 7.4848375 7.387126 7.467225 7.296367 7.8455663 7.6931863 7.5030446 7.6784716 7.44757
1367525_at 9.634258 9.480107 9.559798 9.539095 9.59933 9.493517 9.676308 9.630815 9.534745 9.623999 9.608454
1367526_at 9.012573 8.901198 8.92394 9.044035 8.906141 8.863288 8.850452 8.980669 8.7997875 8.836583 8.948422
1367527_at 8.410545 8.546746 8.448679 8.489929 8.412779 8.184744 8.069566 8.321586 8.523438 8.08749 8.004111
1367528_at 8.951584 9.184027 8.963126 8.976147 8.994238 9.3443775 8.9152565 8.904161 9.13528 8.920679 8.925
1367529_at 9.098892 9.315168 9.292353 9.289145 9.321827 9.233383 9.313948 9.132977 9.321592 9.073267 9.116111
1367530_at 7.52405 7.6601524 7.6962457 7.5936003 7.5940094 7.58573 7.5104127 7.742921 7.7399955 7.8269997 7.6741953
1367531_at 10.589259 10.730082 10.666469 10.770617 10.6902275 10.788296 10.770401 10.871638 10.824045 10.6760845 10.763127
1367532_at 11.307005 11.352907 11.334924 11.329217 11.346037 11.3358 11.28129 11.215519 11.346437 11.263088 11.209654
1367533_at 8.773461 8.625116 8.626346 8.593759 8.631306 8.484051 8.7477255 8.5829315 8.5452385 8.5361395 8.673057
1367534_at 7.7799587 7.4141946 7.1950145 7.287691 7.3363605 7.4789186 7.891113 7.339219 7.3204856 7.55678 7.428522
1367535_at 8.882912 8.690953 8.739725 8.787586 8.765352 8.857877 8.634581 8.613434 8.735951 8.607667 8.901498
1367536_at 7.6861672 7.837965 7.7115602 7.7676606 7.671171 7.7935963 7.6298423 7.8250237 7.816498 7.8480487 7.9998574
1367537_at 7.7153187 7.701604 7.617718 7.7887464 7.72907 7.6339984 7.9088163 7.9493217 7.720372 7.8606706 7.7117763
1367538_at 7.3912253 7.39528 7.207653 7.4398847 7.207294 7.0565095 7.391968 7.3745894 7.404863 7.4041 7.269143
1367539_at 8.735422 8.584323 8.856817 8.952798 8.698737 8.528813 8.797327 8.644126 8.576814 8.402861 8.7039385
1367540_at 7.7631226 7.8771544 7.5848403 7.7954445 7.72047 7.6074924 7.7860165 7.7626123 7.739875 7.926356 8.008947
1367541_at 7.7748027 7.646236 7.773119 7.7102566 7.6615386 7.557861 7.627465 7.821643 7.553376 7.599722 7.821017
1367542_at 7.7405667 8.0434 7.793855 8.036842 7.8640466 8.088697 8.089973 7.8156066 8.042752 7.817065 7.9789495
1367543_at 8.509009 8.536271 8.367455 8.40881 8.476865 8.502588 8.296013 8.533013 8.283302 8.285513 8.304697
1367544_at 7.0209646 7.046969 6.8009 6.9831376 6.7606626 6.7667007 7.129771 7.062994 6.8700094 6.970595 6.8023534
1367545_at 7.1384254 7.088587 7.164602 6.9632654 6.8230643 6.783035 7.4334474 7.1308236 7.046841 7.3009086 7.1528807
1367546_at 10.459271 10.343377 10.226741 10.3740635 10.284777 10.151387 10.418592 10.335011 10.260537 10.282021 10.370073
1367547_at 8.070013 7.9969974 7.848588 8.092563 7.65719 7.529163 8.157452 7.798082 8.08849 8.148453 7.791168
1367548_at 8.276888 8.499213 8.282284 8.296352 8.533405 8.528482 8.370482 8.388965 8.400244 8.369505 8.152006
1367549_a_at 10.860311 10.788402 10.75016 10.8347435 10.718989 10.711905 10.941869 10.874331 10.888844 10.764787 10.764137
1367550_a_at 8.346446 8.327944 8.359896 8.562915 8.191603 8.495576 8.151427 8.658213 8.453157 8.306913 8.510718
1367551_a_at 9.128304 9.168294 9.224242 9.227927 9.0323 9.086378 9.236181 9.214075 9.219673 9.19246 9.24578
1367552_at 4.410989 4.2609625 4.20528 4.332692 4.366759 4.6043725 4.302882 4.1824155 4.2351923 4.4077053 4.232677
1367553_x_at 11.852603 12.513838 12.019083 12.414731 12.368861 12.083926 12.873718 11.751426 12.886295 12.930488 12.564682
1367554_at 4.060896 3.99876 4.1018114 3.9176145 4.182177 4.4309387 4.096734 3.8454416 4.255089 4.131989 4.1281843
1367555_at 14.733719 14.745149 14.729549 14.739119 14.733453 14.731164 14.750815 14.739185 14.750815 14.755769 14.754609
1367556_s_at 14.595528 14.617416 14.6015625 14.616042 14.617416 14.603994 14.569642 14.5832205 14.5832205 14.603994 14.577414
1367557_s_at 12.885655 12.801274 12.9157915 12.8966875 12.955571 13.090852 12.803537 12.803148 12.785408 12.833411 12.97119
1367558_x_at 3.209005 3.178765 3.4242373 3.2879312 3.2679472 3.2814867 3.1277192 3.1791465 3.294662 3.2562537 3.2475858
1367559_at 12.858855 12.951507 12.904707 12.861664 12.916966 12.993138 12.939124 12.914848 12.98622 12.843349 12.883853
1367560_at 12.272779 12.227511 12.236882 12.237845 12.198291 12.193611 12.389833 12.202011 12.14796 12.258185 12.29544
1367561_at 12.506236 12.410793 12.49612 12.508941 12.3826 12.514166 12.684958 12.513739 12.497949 12.56474 12.647539
1367562_at 8.72871 8.768715 8.711133 8.098997 8.509222 8.600245 8.378357 8.549117 8.582218 8.281384 8.138634
1367563_at 9.28398 9.245278 9.196735 8.972096 9.149015 9.015161 9.219772 9.050583 8.997269 9.043941 8.983514
1367564_at 6.067221 5.9745073 5.973424 5.948755 6.179599 6.2169495 5.975569 6.0339727 5.963179 6.175396 6.1859856
1367565_a_at 13.727063 13.705644 13.71045 13.716159 13.685569 13.785163 13.638926 13.75815 13.640806 13.59784 13.707321
1367566_at 4.0349603 4.39851 4.066391 4.203619 4.1548557 4.133913 3.7670915 3.8587856 4.124481 4.478305 4.1316595
1367567_at 12.039788 12.167522 12.006132 12.101955 11.973054 12.092899 12.05629 12.046666 12.073112 12.092654 12.007427
1367568_a_at 9.450525 8.928354 9.677551 9.29475 9.229577 8.821952 9.354936 9.407324 8.990432 9.22571 8.871856
1367569_at 11.902487 11.855457 11.796081 11.872605 11.830913 11.8836155 12.050986 11.848998 11.9100065 11.836 11.802352
1367570_at 6.903662 6.9525332 7.0621834 6.926363 7.130726 6.9364605 7.1871057 7.170889 7.0423393 7.0019083 6.680899
1367571_a_at 5.7503185 5.235282 5.6424694 5.149539 5.377838 5.3898506 5.210491 5.1837683 5.382963 5.250374 5.6422005
1367572_at 5.106376 4.987894 4.933005 5.037058 5.21056 5.0117345 5.077131 5.0481524 5.327546 5.01499 4.956092
