ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 20 20 20 60 60 60 200 200 200
1367452_at 10.347333 10.416173 10.526336 10.469199 10.380924 10.399282 10.43617 10.51007 10.423938 10.408571 10.438804 10.369918
1367453_at 9.816639 9.788884 9.841408 9.811785 9.794434 9.82249 9.901483 9.80878 9.789754 9.788831 9.71856 9.719973
1367454_at 9.984781 10.188583 10.039476 10.1189165 10.073663 10.112333 10.123713 10.142124 10.056963 9.935986 10.088056 10.210831
1367455_at 11.383305 11.3650675 11.51861 11.494751 11.479066 11.464503 11.503116 11.491266 11.617618 11.470577 11.295628 11.394813
1367456_at 11.897814 11.957304 11.945522 11.886344 12.039321 11.996672 12.047979 11.997626 11.952521 12.031705 11.993459 12.095622
1367457_at 9.067641 9.109497 9.100853 9.10203 9.040983 9.141989 9.111871 9.280568 9.148336 9.074765 9.089141 9.137375
1367458_at 8.397721 8.496834 8.414736 8.395499 8.3285 8.382704 8.300156 8.205871 8.232277 8.337168 8.309692 8.147612
1367459_at 12.118089 12.224425 12.25328 12.314556 12.242784 12.285189 12.226132 12.164921 12.156963 12.294781 12.259829 12.22365
1367460_at 11.351412 11.469011 11.383219 11.407404 11.445672 11.451558 11.53074 11.488456 11.390775 11.387856 11.414882 11.495236
1367461_at 10.452758 10.648022 10.612534 10.546999 10.575553 10.715452 10.599757 10.659247 10.6004095 10.532632 10.436872 10.487392
1367462_at 10.799013 10.339175 10.753979 10.623726 10.5487995 10.5223875 10.584862 10.552361 10.716344 10.58833 10.265098 10.490197
1367463_at 11.240473 11.023996 11.16031 10.934499 10.761658 11.003534 10.981413 10.895227 10.989771 10.982375 11.124402 10.836057
1367464_at 9.579734 9.616964 9.563825 9.480996 9.567835 9.571014 9.598467 9.59837 9.471339 9.48817 9.502553 9.535328
1367465_at 10.39189 10.106101 10.222376 10.362557 10.213229 10.19036 10.296971 10.2040825 10.294815 10.485232 10.07447 10.243562
1367466_at 10.400143 10.390091 10.392934 10.402864 10.466176 10.430967 10.406049 10.453853 10.360532 10.319399 10.324556 10.470821
