ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 60 60 60 200 200 200 600 600 600
1367452_at 10.471047 10.460028 10.454081 10.395154 10.464662 10.501498 10.531644 10.466065 10.511367 10.38695 10.468486 10.511853
1367453_at 9.909766 10.031163 9.980232 9.770976 9.829028 9.948879 9.9935875 9.865807 10.039635 9.831545 9.999875 10.076765
1367454_at 10.202952 10.0965 10.049712 10.046691 10.139913 10.041157 10.017729 10.215846 10.116943 9.956331 10.005086 10.078713
1367455_at 11.240031 11.247696 11.335058 11.228813 11.316911 11.266655 11.115706 11.319887 11.091269 11.162908 11.214243 11.158027
1367456_at 11.857553 11.764599 11.716511 11.782453 11.744153 11.792594 11.803682 11.861156 11.705913 11.717598 11.782003 11.83555
1367457_at 9.166627 9.141504 9.317266 9.321164 9.310917 9.176333 9.314625 9.294182 9.263957 9.137132 9.268514 9.0646105
1367458_at 8.213945 8.308409 8.248829 8.092226 8.132168 8.19652 8.228397 8.057 8.184126 8.196863 8.199005 8.228617
1367459_at 12.117322 12.142904 12.158858 12.094783 12.13903 12.0999 12.107062 12.179886 12.168294 12.100962 12.082827 12.099468
1367460_at 11.382545 11.300713 11.41271 11.433031 11.533086 11.36824 11.334721 11.481426 11.362319 11.298887 11.464227 11.316291
1367461_at 10.407069 10.229582 10.407623 10.543683 10.4131365 10.359327 10.244517 10.332218 10.281766 10.2630625 10.261856 10.25835
1367462_at 10.585554 10.946971 10.861238 10.466317 10.111372 10.274743 10.404753 10.415912 10.303778 10.602737 10.465896 10.5284815
1367463_at 11.132021 10.8846 11.137226 10.664395 11.139463 11.301911 11.186331 11.3369465 11.169843 11.135848 11.180647 11.179095
1367464_at 9.469585 9.46591 9.5489025 9.425044 9.429258 9.45663 9.49386 9.415756 9.52465 9.511917 9.597679 9.436743
1367465_at 10.40586 10.430863 10.507632 10.138624 10.32149 10.301998 10.389779 10.261397 10.520196 10.395436 10.614652 10.549
1367466_at 10.093693 10.102835 10.098808 10.214323 10.084116 10.080533 10.088895 10.164298 9.950462 10.097689 10.057154 10.012058
1367467_at 11.701247 11.694475 11.79534 11.502177 11.72798 11.735597 11.654676 11.582749 11.658058 11.754731 11.70991 11.739672
1367468_at 9.898395 10.171175 9.771462 9.67338 9.873786 9.825573 9.937988 10.0508175 10.2638645 9.972126 9.911485 10.107339
1367469_at 11.65817 11.4351845 11.478828 11.812759 11.655546 11.595884 11.538389 11.705976 11.458139 11.542196 11.510613 11.600076
1367470_at 10.007303 10.119198 10.174055 10.209275 10.10868 10.115384 10.098421 10.201365 9.994205 10.008193 10.044955 10.049487
1367471_at 9.308521 9.402826 9.409101 9.168447 9.203034 9.442101 9.379455 9.289447 9.289115 9.376454 9.35064 9.386546
1367472_at 9.912832 9.831919 9.860329 9.920346 9.675558 9.749525 9.855196 9.92449 9.708106 9.81166 9.880254 9.879133
1367473_at 10.098076 10.090074 9.961827 9.91997 10.04303 10.125608 10.123752 10.083436 10.186958 10.0154085 10.146271 10.113465
1367474_at 9.573137 9.6244755 9.495357 9.475177 9.489891 9.388875 9.479947 9.533573 9.358157 9.369797 9.488407 9.353336
1367475_at 10.689382 10.75699 10.699344 10.726357 10.6688795 10.645598 10.690843 10.663398 10.6600275 10.592269 10.664192 10.749679
1367476_at 11.610808 11.605197 11.695672 11.456593 11.635786 11.567047 11.745255 11.469211 11.701227 11.726564 11.805462 11.694616
1367477_at 10.256377 10.437559 10.356167 9.998693 10.23222 10.330173 10.45618 10.140231 10.416131 10.625102 10.457432 10.444822
1367478_at 8.033926 7.942588 7.929073 8.079968 7.8324285 7.844747 7.815127 8.022778 7.8873825 7.83894 7.8365417 7.964846
1367479_at 11.451047 11.357852 11.405789 11.169813 11.255495 11.285176 11.516172 11.243716 11.48473 11.434595 11.425272 11.5117
1367480_at 9.698062 9.827063 9.759414 9.819416 9.643727 9.769133 9.726746 9.738942 9.692755 9.654776 9.612239 9.655976
1367481_at 9.711205 9.71811 9.590168 9.544779 9.534085 9.537428 9.784644 9.541522 9.593419 9.587685 9.660526 9.780784
1367482_at 9.75782 9.635422 9.792713 9.565952 9.743965 9.655845 9.742213 9.65501 9.860623 9.6361475 9.797827 9.741716
1367483_at 9.257051 9.213852 9.345024 9.104639 9.321472 9.287713 9.379154 9.158396 9.348782 9.270498 9.249266 9.356945
1367484_at 9.587125 9.673756 9.578854 9.659066 9.5605545 9.531453 9.47558 9.446648 9.511875 9.424388 9.702564 9.524675
1367485_at 10.163154 10.091874 10.1116495 10.210371 10.253533 10.185808 10.162622 10.237168 10.082525 10.073589 10.08229 10.112157
1367486_at 9.689212 9.574846 9.612848 9.529196 9.424237 9.616365 9.6224375 9.48197 9.481326 9.519625 9.575088 9.519555
1367487_at 7.4442086 7.545291 7.3719187 7.36535 7.3938355 7.4570103 7.4190626 7.537984 7.668021 7.50511 7.4798384 7.3898215
1367488_at 7.757685 7.755158 7.8696837 7.966731 7.889218 7.847564 7.782345 8.086239 7.6242948 7.888064 7.7901807 7.7045636
1367489_at 6.579989 6.413733 6.1118436 6.49672 6.432719 6.582914 6.4315205 6.45191 6.503736 6.2144585 6.4240775 6.256288
1367490_at 7.359848 7.3417087 7.411267 7.2481136 7.192133 7.180067 7.215884 7.444069 7.167483 7.2685833 7.2761803 7.3100653
1367491_at 9.523482 9.507173 9.527132 9.563405 9.447033 9.46392 9.42765 9.583568 9.360785 9.35796 9.40008 9.279214
1367492_at 9.19099 9.281001 9.303312 9.151851 9.231183 9.376373 9.29931 9.215801 9.292441 9.289798 9.261058 9.223175
1367493_at 9.533125 9.562774 9.579865 9.442302 9.513627 9.530729 9.413039 9.441611 9.370729 9.529754 9.6510725 9.566529
1367494_at 10.347404 10.35611 10.454302 10.203649 10.300386 10.402871 10.395135 10.100356 10.332963 10.283451 10.372793 10.398885
1367495_at 7.8788037 7.96616 8.087915 7.699472 7.866397 7.967165 7.83436 7.7289166 7.965067 7.890219 8.091289 7.9461293
1367496_at 11.21809 11.17352 11.027177 11.242294 11.228043 11.008694 11.068136 11.2683115 11.093819 11.141851 11.21166 11.032161
1367497_at 8.822685 8.7404375 8.690149 8.760895 8.887989 8.681265 8.630234 8.629692 8.497064 8.62827 8.695957 8.422946
1367498_at 8.783271 8.57955 8.521992 8.821714 8.641617 8.567366 8.670862 9.092983 8.590707 8.72536 8.63257 8.715463
1367499_at 7.9601254 7.9244695 7.909931 8.167999 7.969173 8.021187 7.933418 7.9192853 7.9939895 7.9686337 8.252016 7.952126
1367500_at 10.458592 10.478603 10.492435 10.323436 10.496242 10.521505 10.452733 10.32207 10.700838 10.551512 10.659182 10.569575
1367501_at 8.609503 8.34534 8.451951 8.486119 8.359378 8.475281 8.377537 8.351727 8.561827 8.357953 8.323925 8.32696
1367502_at 8.85675 8.955655 8.827603 8.594028 8.776268 8.792805 8.953524 8.637552 8.9138565 8.869154 8.971797 8.898092
1367503_at 11.22932 11.2235155 11.314034 11.207456 11.117549 11.184817 11.247511 11.075633 11.233112 11.221946 11.132346 11.239942
1367504_at 8.390438 8.323722 8.197843 7.890892 7.988591 8.025866 8.375685 8.328068 8.094397 8.265631 8.388853 8.241928
