ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 20 20 20 60 60 60 200 200 200
1367452_at 10.247965 10.2699375 10.369574 10.280778 10.247979 10.265637 10.30543 10.316344 10.199919 10.343886 10.277634 10.225325
1367453_at 10.14356 10.242381 10.21929 10.330261 9.939865 10.149633 10.189184 10.306006 10.227814 10.305326 10.271999 10.198331
1367454_at 10.136493 10.04087 10.014464 10.020518 10.116883 9.98764 9.919933 10.073743 9.976262 10.0993595 10.152405 9.927413
1367455_at 11.595852 11.526598 11.372023 11.520448 11.36719 11.495671 11.527729 11.454256 11.566411 11.582808 11.431124 11.5619755
1367456_at 11.83248 11.832325 11.833008 11.838205 11.825481 11.775015 11.837854 11.821208 11.823859 11.89831 11.830954 11.78644
1367457_at 9.283616 9.340157 9.244499 9.270318 9.230206 9.231865 9.2448845 9.352766 9.28895 9.315349 9.413624 9.272196
1367458_at 8.1639385 8.37831 8.241156 8.485941 8.235474 8.467187 8.469429 8.294818 8.306053 8.346013 8.380129 8.422156
1367459_at 12.09581 12.017607 11.905731 12.100202 11.98064 11.971784 11.989334 11.939806 12.065283 11.99085 11.988467 12.013346
1367460_at 11.544702 11.720324 11.569497 11.614304 11.417771 11.678402 11.62239 11.740681 11.578055 11.728463 11.708574 11.725079
1367461_at 10.494094 10.368159 10.437213 10.348618 10.271724 10.490508 10.477166 10.293906 10.397854 10.351418 10.430827 10.461609
1367462_at 10.476691 10.551601 10.572433 10.552162 10.38195 10.484325 10.643247 10.397451 10.661163 10.409472 10.686269 10.721769
1367463_at 10.940131 11.1375 11.154814 10.711623 11.065177 11.289845 10.909111 11.289473 11.327144 11.108774 11.147682 11.224219
1367464_at 9.625286 9.807371 9.851632 9.790658 9.56214 9.760534 9.767165 9.785518 9.659694 9.800016 9.818961 9.871126
1367465_at 10.1912985 10.205397 10.203866 10.0888605 10.061681 10.247045 10.34507 10.276671 10.332371 10.198041 10.23275 10.284175
1367466_at 10.2878895 10.254913 10.33904 10.247417 10.211935 10.236211 10.179534 10.187624 10.255065 10.241583 10.269302 10.208508
1367467_at 11.568466 11.680937 11.716495 11.673639 11.4855585 11.647569 11.749368 11.622859 11.583013 11.578995 11.593808 11.615316
1367468_at 9.658435 9.771993 9.821026 9.401476 9.806607 9.893093 9.758428 9.662899 9.688486 9.930332 9.858841 9.777897
1367469_at 11.8768215 11.836339 11.7119 11.956766 11.911736 11.844224 11.704694 11.860169 11.634907 11.823085 11.630328 11.8644285
1367470_at 10.440393 10.331954 10.335837 10.441461 10.056785 10.477265 10.454091 10.353564 10.444428 10.358387 10.49444 10.408566
1367471_at 8.692917 8.950775 9.137931 8.732613 8.929844 8.913835 8.979603 8.921763 8.995952 8.861109 8.958986 9.054858
1367472_at 10.089986 10.128874 10.1157675 10.370422 10.1764345 9.9981575 10.181236 10.256975 10.146511 10.1563 10.058155 10.033922
1367473_at 9.79716 10.023342 9.901847 9.984859 9.786812 9.949405 10.003648 9.948545 9.916819 9.939708 9.982572 10.100272
1367474_at 9.728578 9.767969 9.594933 9.777462 9.868906 9.575341 9.719087 9.592469 9.770651 9.565883 9.497089 9.710316
1367475_at 10.655815 10.650444 10.641148 10.772579 10.443231 10.686601 10.690411 10.706236 10.623441 10.719368 10.64365 10.610351
1367476_at 11.208742 11.254892 11.093516 11.0747795 10.979147 11.203994 11.289642 11.21924 11.144465 11.319012 11.172911 11.260685
1367477_at 10.152866 10.205454 10.22817 9.987478 9.9763 10.043596 10.098443 10.224957 10.163944 10.126019 10.112133 10.162403
1367478_at 8.0406685 8.063431 8.048975 8.015018 8.008947 7.992813 8.084976 8.011209 8.173258 7.919959 8.021879 8.027213
1367479_at 11.158682 11.246133 11.216059 11.14028 11.2505045 11.193527 11.237944 11.144013 11.167181 11.082178 11.190794 11.234901
1367480_at 9.436922 9.618309 9.564361 9.648316 9.34542 9.616842 9.53811 9.612806 9.583857 9.5275345 9.634297 9.595782
