ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 100 100 100 300 300 300 1000 1000 1000
1367452_at 10.450724 10.444607 10.474213 10.4548855 10.4099865 10.42632 10.53309 10.533407 10.394717 10.494833 10.449446 10.442393
1367453_at 9.75576 9.811739 9.757353 9.786458 9.782464 9.692596 9.774744 9.745045 9.820134 9.8517065 9.74696 9.794602
1367454_at 10.08922 10.156901 10.081158 10.049274 10.145776 10.143263 10.025151 10.028557 10.205381 10.147407 10.165732 10.238907
1367455_at 11.320043 11.25502 11.290248 11.2285 11.260432 11.189532 11.298349 11.214242 11.412441 11.396659 11.596878 11.640624
1367456_at 12.038594 11.99461 12.015297 12.109716 12.029002 11.987779 12.15898 12.0812 12.097698 12.084924 12.145921 12.081723
1367457_at 9.21834 9.283603 9.238943 9.238154 9.323727 9.332012 9.234325 9.266234 9.34512 9.261973 9.287234 9.2636175
1367458_at 8.104462 8.027181 7.865368 8.067083 8.170836 7.9458356 8.026491 7.869359 8.073471 7.9585276 7.8835177 8.077848
1367459_at 12.197926 12.087186 12.255487 12.231785 12.183066 12.184632 12.237124 12.14936 12.196751 12.215366 12.179353 12.167032
1367460_at 11.565208 11.471032 11.468018 11.531282 11.545273 11.503725 11.5210285 11.513596 11.538388 11.48484 11.5496645 11.432938
1367461_at 10.714933 10.551501 10.620807 10.636414 10.698691 10.712996 10.657225 10.62745 10.595086 10.459388 10.5562935 10.591671
1367462_at 9.960678 10.205785 10.244844 10.055791 10.14415 10.029665 10.242767 9.946717 10.130354 9.906602 9.992732 9.852206
1367463_at 11.045282 11.171823 11.1828985 11.017381 10.860397 11.022632 11.509137 11.082705 10.997674 11.359899 11.4405985 11.487397
1367464_at 9.550698 9.400286 9.312569 9.379934 9.262627 9.318079 9.146542 9.272827 9.406397 9.296947 9.488438 9.43048
1367465_at 9.994127 9.952763 10.18713 9.964047 9.966088 10.070674 10.052275 9.990486 9.925751 10.081647 9.953617 9.876431
1367466_at 10.371036 10.432467 10.335466 10.374838 10.356235 10.335312 10.40793 10.293673 10.270521 10.296265 10.431478 10.3963375
1367467_at 11.514406 11.573979 11.540735 11.579877 11.457881 11.443082 11.625614 11.63561 11.72768 11.716499 11.765381 11.738822
1367468_at 9.742713 9.7265 9.80692 9.907611 9.837034 9.666854 9.855695 9.831251 9.863501 9.834178 9.830808 9.764413
1367469_at 12.034828 11.985275 11.938803 11.905022 12.016586 11.925894 11.971882 11.945453 11.798262 11.771926 11.905188 11.72396
1367470_at 10.17399 10.094634 10.309218 10.103737 10.078536 10.089562 10.143458 10.17832 10.109345 9.981155 10.098747 10.203171
1367471_at 9.178878 9.212609 9.222824 9.2044 9.09337 9.112266 9.172628 9.176105 9.344811 9.196982 9.2616005 9.12736
1367472_at 9.83366 9.910995 9.839728 9.862871 9.873074 9.83578 9.808052 9.8205 9.88432 9.934226 9.8740425 9.883495
1367473_at 9.995174 9.909619 10.089411 10.084019 10.020267 10.004676 10.034256 10.072374 10.053359 9.9810705 9.998157 10.00723
1367474_at 9.573187 9.353659 9.504645 9.66729 9.442424 9.455267 9.552727 9.411747 9.516226 9.472599 9.738975 9.84252
1367475_at 10.804351 10.957297 10.911635 10.85824 10.653565 10.819964 10.696007 10.754395 10.793008 10.836501 10.845878 10.724632
1367476_at 11.526598 11.49424 11.531856 11.508646 11.321735 11.419784 11.543903 11.563725 11.433871 11.51134 11.577086 11.529001
1367477_at 10.201866 10.095834 10.292626 10.181941 10.234677 10.296616 10.279061 10.295275 10.255417 10.224415 10.259207 10.206655
1367478_at 8.044785 7.804665 8.057436 7.9041467 7.800758 7.9129815 7.813236 8.010124 7.824264 7.9331365 8.053476 8.3028965
1367479_at 11.207718 11.249444 11.343719 11.133772 11.243965 11.254219 11.269384 11.236779 11.121807 11.166745 11.162523 10.953248
1367480_at 9.822394 9.79944 9.875624 9.875646 9.75334 9.816027 9.785501 9.827903 9.81907 9.682064 9.716333 9.68606
1367481_at 9.601656 9.662184 9.55348 9.625347 9.660715 9.636091 9.630387 9.614709 9.630457 9.6513405 9.66207 9.518697
1367482_at 9.438328 9.5726795 9.64599 9.598895 9.546677 9.397654 9.655769 9.680281 9.531071 9.388841 9.623658 9.47069
1367483_at 9.254502 9.011267 8.988452 9.023485 9.097414 8.954545 9.058908 9.04827 9.266029 9.15904 9.213215 9.029108
1367484_at 9.618714 9.66971 9.549371 9.590363 9.40099 9.560976 9.544991 9.633185 9.527055 9.569938 9.622874 9.439123
1367485_at 10.339879 10.404301 10.364123 10.342798 10.249231 10.377776 10.294052 10.3540125 10.344394 10.3230715 10.427691 10.468574
1367486_at 9.529508 9.473211 9.38114 9.594607 9.3019085 9.361784 9.655129 9.392356 9.494184 9.634426 9.600654 9.556437
1367487_at 7.4019804 7.273398 7.2258916 7.441666 7.5309544 7.301291 7.358856 7.4407167 7.3544884 7.112725 7.404622 7.279439
1367488_at 8.026276 8.23287 8.456006 8.0060215 8.251005 8.122883 8.230347 8.25102 8.063232 8.08469 8.158821 8.067593
1367489_at 6.403979 6.1318455 6.256208 6.3777285 6.616037 6.4722395 6.7839828 6.691405 6.3449616 6.29802 6.238793 6.523295
1367490_at 7.5074997 7.334547 7.417433 7.314567 7.1987267 7.49631 7.4576864 7.234939 7.494909 7.2811027 7.4039907 7.4110518
1367491_at 9.6448345 9.579325 9.6691475 9.651543 9.539406 9.663339 9.626104 9.68099 9.62916 9.690356 9.762678 9.778723
1367492_at 9.210767 9.130143 9.071276 9.260206 9.100422 9.127929 9.190354 9.19955 9.334376 9.221514 9.215184 9.22715
1367493_at 9.519092 9.505037 9.603735 9.538527 9.476121 9.533427 9.617753 9.508924 9.47573 9.377992 9.502883 9.3949795
1367494_at 10.289778 10.253064 10.3629265 10.255768 10.212661 10.371655 10.193972 10.3727865 10.402607 10.209967 10.3148 10.297238
1367495_at 7.8263097 7.6973896 8.012121 8.012617 7.8876653 7.9841795 7.915225 7.885084 7.828933 7.7409186 7.858799 7.736173
1367496_at 11.16281 11.18055 11.12944 11.252302 11.304602 11.290938 11.268519 11.234603 11.255792 11.213814 11.2555685 11.357881
1367497_at 8.70101 8.528904 8.522062 8.726828 8.589612 8.748346 8.628481 8.763788 8.672706 8.551736 8.621343 8.500038
1367498_at 8.994438 8.956383 9.138537 8.8356 9.101626 9.108989 9.119074 9.079469 8.97053 8.756501 8.976607 8.791499
1367499_at 7.9401627 8.03763 8.192627 7.999383 8.087843 8.207859 7.933713 7.9832454 8.0072975 8.086054 8.11758 8.011784
1367500_at 10.296916 10.243799 10.268925 10.166382 10.135703 10.248986 10.121655 10.16205 10.245302 10.157108 10.2686 10.09482
1367501_at 8.519841 8.436539 8.639856 8.545894 8.480784 8.471774 8.550098 8.428688 8.6800585 8.275965 8.482967 8.31732
1367502_at 8.740513 8.651463 8.699418 8.874014 8.597271 8.633683 8.70611 8.798593 8.763581 8.779404 8.848323 8.7815895
1367503_at 11.108251 11.189043 11.100329 11.137717 11.141865 11.221473 11.1909075 11.207457 11.222252 11.202103 11.193565 11.197846
1367504_at 7.949757 8.341267 8.131904 8.240633 8.258233 8.492158 8.311729 8.467127 8.432861 8.378244 8.558231 8.444057
1367505_at 8.208682 8.291629 8.282186 8.328415 8.1438675 8.45984 8.211487 8.5564995 8.446121 8.268709 8.529148 8.44026
1367506_at 10.1313505 9.96679 10.0033865 10.011505 9.966164 10.030328 9.831462 9.916162 10.04394 9.967792 10.014021 9.915917
1367507_at 7.469342 7.48586 7.640396 7.714298 7.430576 7.5198884 7.569096 7.6297193 7.599091 7.6041284 7.687729 7.563253
1367508_at 9.271992 9.2319565 9.250698 9.307904 9.02914 9.020563 9.038927 9.18137 9.098209 9.141352 9.2738495 9.164838
1367509_at 9.710984 9.750155 9.66476 9.58695 9.546845 9.643185 9.562487 9.59541 9.550556 9.691922 9.626614 9.641416
1367510_at 9.625505 9.659302 9.588727 9.672494 9.660512 9.742177 9.536259 9.619171 9.767036 9.720832 9.672243 9.591389
1367511_at 8.51241 8.568869 8.696389 8.741997 8.730122 8.74584 8.75229 8.765109 8.682512 8.783151 8.768414 8.628162
1367512_at 11.262908 11.292478 11.263291 11.232159 11.168702 11.313071 11.092317 11.239956 11.276673 11.132536 11.183044 11.236224
1367513_at 8.033772 8.040967 8.186804 8.403439 8.181491 8.207563 8.406113 8.396275 8.291289 8.264889 8.200451 8.344172
1367514_at 8.054505 7.855897 8.198858 7.8528852 7.873092 8.066174 7.9605775 7.9986553 8.173891 8.402754 8.245676 8.18036
1367515_at 8.228273 8.19099 8.169451 8.143816 8.412319 8.491961 8.3068075 8.484259 8.1856365 8.237198 8.192656 8.225853
1367516_at 8.904737 9.050492 8.903159 8.928048 8.732496 9.080148 8.877738 8.92919 8.869904 8.823197 8.83319 8.844611
1367517_at 7.7644844 7.512014 7.5118003 7.5922627 7.7668986 7.940685 7.6742463 7.338023 7.732071 7.6855316 7.6572714 7.5623484
1367518_at 8.571362 8.696531 8.561198 8.622991 8.609736 8.534727 8.673956 8.510703 8.77411 8.447189 8.653363 8.403263
1367519_at 8.638655 8.597181 8.64312 8.6142235 8.4796295 8.533783 8.534736 8.604291 8.670403 8.659896 8.693104 8.764931
1367520_at 10.156102 10.126249 10.102648 10.105652 10.033575 9.995496 10.171231 10.014775 10.190006 10.428767 10.155593 10.186776
1367521_at 6.9467506 7.170741 6.9284134 6.6609526 7.0244675 6.8657503 6.8852224 7.2309327 6.6779795 7.159739 7.3085656 7.2322187
1367522_at 9.083711 9.147711 9.173831 9.27776 9.274187 9.27767 9.253518 9.213455 9.359132 9.365435 9.411926 9.31668
1367523_at 9.120556 8.927521 9.023536 9.09702 8.894498 9.197573 9.071563 9.119019 8.801089 9.028371 9.237057 8.996661
1367524_at 7.1473308 7.264697 7.372377 7.014633 7.328354 7.170888 7.1750784 7.331371 7.2619042 7.346993 7.0962596 7.2322826
1367525_at 9.297443 9.282729 9.322957 9.259185 9.048773 9.219983 9.216116 9.137685 9.223505 9.273332 9.185974 9.202688
1367526_at 9.098494 9.069703 9.098396 8.967691 8.931746 8.875136 8.957031 8.894424 8.952941 9.011524 9.068893 8.941006
1367527_at 8.535281 8.193919 8.467806 8.25401 8.39057 8.404316 8.157563 8.385136 8.157324 8.139311 8.690442 8.298721
1367528_at 8.943339 8.787782 8.857151 8.897115 8.817627 8.774073 8.869293 8.818389 8.9341955 9.00838 9.077166 9.24324
1367529_at 9.297232 9.130933 9.366238 9.283633 9.300172 9.313321 9.207348 9.23269 9.283061 8.999578 9.219211 9.059212
1367530_at 7.994499 7.916304 7.966724 7.9434495 8.089724 8.066925 7.834965 7.949327 7.8961096 7.847382 8.014515 7.821881
1367531_at 10.658891 10.675638 10.766729 10.676658 10.659635 10.637928 10.680072 10.7290745 10.757584 10.655588 10.773837 10.760381
1367532_at 11.379588 11.270129 11.271795 11.310379 11.325134 11.371578 11.228623 11.214676 11.327636 11.1958685 11.337474 11.410075
1367533_at 8.915036 8.999625 8.967611 9.165666 8.681945 8.745079 8.740417 8.824414 9.00602 8.898159 8.762237 8.779412
1367534_at 7.5200157 7.638518 7.11959 7.441666 7.598053 7.4527745 7.4578485 7.652306 7.4086175 7.632396 7.444973 7.7033267
1367535_at 8.620968 8.779563 8.662982 8.7158575 8.615601 8.561345 8.735963 8.479816 8.493939 8.474362 8.6026745 8.482678
1367536_at 8.060837 7.8933225 8.100723 8.129351 7.906141 7.9845805 7.9705415 7.8996162 8.081007 8.060313 8.1014805 8.181145
1367537_at 7.7923493 7.768121 7.8682456 7.553634 7.7413173 7.544228 7.6026106 7.5890145 7.5549903 7.682293 7.6490245 7.575971
1367538_at 7.4359903 7.682601 7.350903 7.4296994 7.3669696 7.4379864 7.406023 7.4672856 7.4467883 7.395916 7.403921 7.469366
1367539_at 8.830044 8.687236 8.86344 8.923964 8.691523 8.9745 8.954599 8.728709 8.589061 8.512433 8.631227 8.413808
1367540_at 7.6464634 7.8758707 8.012396 7.8117094 7.856078 7.864056 7.636403 7.8887424 7.898359 7.993444 7.971817 8.230504
1367541_at 8.01379 8.227808 8.033033 8.344635 7.972264 7.939632 8.087273 8.177319 8.371136 8.15727 8.113022 8.146316
1367542_at 8.067779 8.307768 8.16626 8.081697 7.9354486 8.091452 8.148247 8.246944 8.254459 8.100954 8.254955 8.126361
1367543_at 8.440665 8.363848 8.499953 8.276373 8.454336 8.40506 8.367332 8.317411 8.54491 8.274911 8.456677 8.368551
1367544_at 7.4083524 6.8688765 7.062762 7.050014 7.3529344 7.1288075 7.349609 7.440879 6.7118726 7.318591 7.2978277 7.3541894
1367545_at 6.9720097 7.3040514 6.9976897 7.1464596 7.242917 7.2012258 7.3798294 7.4596844 7.3262944 7.5548854 7.0771914 7.470204
1367546_at 9.913565 10.344629 10.364857 10.592339 9.832723 9.7931595 10.172712 10.292475 10.0440035 10.348988 9.929007 9.844641
1367547_at 8.300898 8.21623 8.22333 8.3661 8.215984 8.225592 8.219566 8.123456 8.162123 8.172199 8.152256 8.157072
1367548_at 8.374404 8.359035 8.390007 8.374649 8.250539 8.25595 8.396811 8.271344 8.413965 8.189842 8.248525 8.159477
1367549_a_at 10.853967 10.842127 10.844921 10.799161 10.73304 10.732593 10.653091 10.676002 10.775801 10.881922 10.8358555 10.879911
1367550_a_at 8.770757 8.454546 8.757062 8.760706 8.730763 8.637791 8.628817 8.810095 8.678428 8.77973 8.860228 9.016807
1367551_a_at 9.751676 9.486099 9.374159 9.555949 9.323292 9.473404 9.408213 9.631101 9.586952 9.599755 9.550705 9.613773
1367552_at 4.233298 4.3560667 4.3131723 4.209952 4.295455 4.2263746 4.152151 4.219585 4.149106 4.2665224 4.2612247 4.294544
1367553_x_at 12.47589 11.777727 11.756545 12.145891 12.548339 11.944576 12.022309 12.182793 11.912608 12.640099 12.282755 12.448292
1367554_at 4.1635976 3.8994675 3.936441 3.9525266 3.8992186 3.984149 4.237807 4.059717 3.960722 4.1392155 3.8726935 4.0031776
1367555_at 14.792558 14.7832775 14.797654 14.792558 14.768944 14.765634 14.787522 14.797654 14.765191 14.762318 14.792558 14.755784
1367556_s_at 14.5548725 14.595528 14.576031 14.59291 14.567668 14.538004 14.5915365 14.5832205 14.5272455 14.564867 14.538676 14.559159
1367557_s_at 13.069573 12.802778 12.867499 12.925872 12.898534 12.9501915 12.944748 12.921424 12.7746935 13.090216 12.924022 12.8253765
1367558_x_at 3.1166217 3.4237368 3.1586928 3.261277 3.2108085 3.2668242 3.2982376 3.1311035 3.1419697 3.255343 3.3428278 3.114032
1367559_at 12.977864 12.819667 12.961963 12.976636 12.895738 12.933031 13.039677 12.901204 12.958017 13.1210375 13.175039 13.215971
1367560_at 12.165303 12.183246 12.224428 12.190285 12.132761 12.107835 12.189413 12.141531 12.106493 12.249192 12.247867 12.158583
1367561_at 12.533598 12.525858 12.577085 12.534992 12.439668 12.404947 12.46125 12.531726 12.362111 12.545892 12.400814 12.313941
1367562_at 8.353304 8.588786 8.067766 8.104843 8.348108 7.915019 8.101607 8.160511 8.115992 7.9493065 8.210768 7.876089
