ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 5 5 5 15 15 15 50 50 50
1367452_at 10.372836 10.4331255 10.353333 10.389557 10.321371 10.253708 10.261611 10.414404 10.3955765 10.35857 10.198495 10.418719
1367453_at 10.194385 10.110459 10.083572 10.080394 10.054211 9.980391 10.134674 10.150475 10.053364 9.916048 9.938363 10.069168
1367454_at 10.075888 10.014575 10.002273 10.024597 10.094935 10.111956 9.999257 10.052321 10.069954 10.188343 10.051908 9.970867
1367455_at 11.260818 11.329512 11.369764 11.354097 11.467513 11.459219 11.302137 11.372876 11.5119295 11.355742 11.319387 11.25591
1367456_at 11.921953 11.895041 11.863401 11.8489685 11.903153 11.953733 12.04335 11.845518 11.89444 11.72595 11.731828 11.781149
1367457_at 9.246247 9.060811 9.166989 9.149197 9.1522875 9.297192 9.149794 9.16871 9.142892 8.9756365 8.950142 8.99454
1367458_at 8.355133 8.301064 8.220243 8.287201 8.165845 8.23461 8.315379 8.531299 8.305411 8.276852 8.193536 8.240738
1367459_at 12.2296 12.108877 12.110267 12.127491 12.178595 12.183323 12.078412 12.214885 12.212955 12.195762 12.128232 12.192008
1367460_at 11.589006 11.43283 11.415175 11.484926 11.445565 11.58617 11.431047 11.530437 11.510515 11.478132 11.388135 11.385976
1367461_at 10.434454 10.337751 10.404638 10.298971 10.425666 10.566468 10.314112 10.32818 10.489809 10.518418 10.367633 10.405082
1367462_at 10.524431 10.634195 10.614839 10.28881 10.719938 10.137198 10.410709 10.453297 10.106817 10.184921 10.198745 10.275385
1367463_at 10.922858 11.171767 11.049668 11.214041 10.995999 10.900986 10.906965 11.181534 11.444621 10.983463 10.963284 11.137918
1367464_at 9.680876 9.602698 9.584394 9.714462 9.574729 9.707946 9.706548 9.77894 9.710815 9.711614 9.6899395 9.624943
1367465_at 10.393329 10.303609 10.261582 10.416424 10.445959 10.183727 10.351869 10.338863 10.149731 10.684854 10.18054 10.453714
1367466_at 9.834504 9.935243 10.004105 9.964121 10.150592 10.032413 10.026204 10.022666 10.044182 9.730642 10.098381 9.654176
1367467_at 11.588719 11.540682 11.568326 11.631546 11.5991955 11.562252 11.6902485 11.621539 11.544213 11.485833 11.430274 11.577794
1367468_at 9.814034 9.955445 9.848827 10.039694 9.825625 9.590427 9.872522 9.871146 9.736048 9.69604 9.944597 9.879014
1367469_at 11.908366 11.634506 11.890047 11.942972 11.861002 11.9778805 11.782709 11.902653 11.897305 11.887726 11.844709 11.818048
1367470_at 10.178316 10.280666 10.275714 10.121965 10.263413 10.247404 10.217961 10.145023 10.307214 10.329363 10.106405 10.19692
1367471_at 9.1662035 9.115828 9.118009 9.219501 9.119946 9.0510025 9.28139 9.147748 9.042582 9.1999 9.137619 9.263301
1367472_at 10.041403 10.058614 10.065727 10.119177 10.119245 10.181124 10.170924 10.04089 9.92519 9.919925 10.060728 9.897865
1367473_at 10.005005 9.91383 9.923792 10.0227 9.998724 10.118675 9.894147 9.978927 9.978672 9.7914915 9.884866 10.022471
1367474_at 9.584946 9.594728 9.621729 9.613446 9.734186 9.695374 9.595011 9.540935 9.666988 9.543486 9.581668 9.37141
1367475_at 10.566952 10.566595 10.528744 10.583672 10.501124 10.522305 10.567125 10.4396305 10.58476 10.273316 10.396458 10.556508
1367476_at 11.166169 11.107123 11.152023 11.107923 11.110482 11.068806 11.213749 11.172978 11.208385 11.010429 10.891531 11.088903
1367477_at 10.28749 10.064646 10.118474 10.209744 10.238034 9.888672 10.218759 10.096721 10.0605345 9.636598 9.672165 9.885815
1367478_at 7.986335 7.8560987 7.945672 7.9161315 7.7938876 7.8873997 7.874098 8.013859 7.8851204 7.988171 7.6211767 7.8310695
1367479_at 11.424804 11.391166 11.350069 11.341179 11.372283 11.180302 11.318514 11.409705 11.1733 11.104323 11.027586 11.224773
1367480_at 9.594341 9.590529 9.525149 9.516123 9.578872 9.472679 9.579058 9.506337 9.576748 9.3425 9.1954775 9.513013
1367481_at 9.3724375 9.4549055 9.375741 9.334835 9.412374 9.261436 9.453327 9.490191 9.330678 9.431353 9.317348 9.481358
1367482_at 9.814422 9.659589 9.627023 9.725508 9.550446 9.478986 9.688557 9.753084 9.621749 9.68031 9.4261875 9.569792
1367483_at 9.0870905 9.110914 9.013939 9.184516 8.903648 8.884883 8.975932 9.081459 9.06645 8.706318 8.971357 9.045013
1367484_at 9.544542 9.373731 9.396456 9.337266 9.324592 9.339992 9.44885 9.263567 9.386477 8.993879 9.219099 9.390528
1367485_at 10.07892 10.066472 10.167667 10.080936 10.170677 10.15634 10.09034 10.104062 10.158013 9.649014 9.803248 9.863187
1367486_at 9.5546255 9.648783 9.69887 9.7215185 9.686761 9.685145 9.770595 9.649349 9.686685 9.706165 9.542397 9.589067
