ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 100 100 100 300 300 300 1000 1000 1000
1367452_at 9.949914 9.962397 9.97648 9.987662 9.913111 10.052068 9.99492 9.928309 9.952592 9.918668 9.795548 9.659133
1367453_at 9.927811 9.776602 9.905787 9.920791 9.897872 9.772727 9.899264 9.872651 9.9194355 9.839445 9.85934 9.911998
1367454_at 9.4610615 9.69357 9.64678 9.712806 9.437722 9.578263 9.477169 9.57497 9.533923 9.487633 9.449259 9.525842
1367455_at 11.188073 11.135348 11.189902 11.417583 11.309784 11.375219 11.380397 11.34592 11.189859 11.229144 11.321476 10.911603
1367456_at 11.767309 11.626004 11.706267 11.563353 11.616198 11.623526 11.687975 11.531368 11.619343 11.564124 11.74473 11.6726265
1367457_at 8.717358 8.455458 8.512413 8.576688 8.482483 8.792222 8.801271 8.406142 8.588585 8.790354 8.614454 8.622461
1367458_at 8.660056 8.749483 8.67821 8.602631 8.5560055 8.579002 8.577798 8.690321 8.719067 8.5905485 8.78685 8.624893
1367459_at 12.146765 12.119959 12.205303 12.149588 12.11787 12.224706 12.209973 12.101992 12.217263 12.24992 12.214711 12.096326
1367460_at 11.120314 11.258562 11.227307 11.108254 11.098384 11.230079 11.22119 11.136748 11.193997 11.130507 11.2084055 11.109772
1367461_at 9.97962 9.966286 10.078611 9.972641 10.016138 10.108171 9.964663 9.893205 9.865003 9.819269 10.087066 9.905357
1367462_at 10.717255 10.727299 10.907875 10.717405 10.845705 10.345683 10.641376 10.606674 10.658151 10.638601 10.783544 10.350989
1367463_at 10.578294 10.900425 10.815682 10.857028 10.822204 10.810339 10.792143 10.512921 10.879662 10.839877 10.9383 10.588907
1367464_at 9.029753 9.184126 9.332932 9.036221 9.00145 9.070509 9.080849 8.875742 8.989871 8.935094 9.062033 9.169022
1367465_at 9.907782 10.114822 10.176924 9.850048 10.079678 10.098227 10.175934 10.081352 10.272967 10.090258 10.090905 9.952863
1367466_at 9.9513445 9.945769 9.736039 9.89267 9.809463 9.984102 9.830104 9.868686 9.849859 9.725892 9.60109 9.637034
1367467_at 11.373608 11.395335 11.49061 11.3819065 11.119672 11.347483 11.452284 11.423227 11.433618 11.340462 11.52793 11.484903
1367468_at 9.455283 9.508426 9.56016 9.107546 9.350846 9.314825 9.493066 9.321782 9.196564 9.166724 9.765045 9.4302435
1367469_at 11.598845 11.495611 11.539825 11.866559 11.664957 11.821395 11.798799 11.726399 11.746789 11.746287 11.707669 11.689891
1367470_at 10.147688 10.263299 10.365834 10.190856 10.2727585 10.422205 10.2560625 10.368693 10.1559 10.162165 10.374851 10.019419
1367471_at 8.599929 8.6656275 8.648568 8.593793 8.725223 8.712619 8.705674 8.572228 8.655357 8.582409 8.829879 8.69005
1367472_at 9.931351 9.91993 9.896208 10.069118 9.978476 9.912426 9.995424 9.853988 9.942582 9.8913555 9.988217 9.733651
1367473_at 9.679057 9.502263 9.842531 9.323437 9.597146 9.646907 9.734924 9.66667 9.577852 9.56978 9.67407 9.574158
1367474_at 9.627034 9.694642 9.600591 9.469399 9.415707 9.625249 9.454202 9.423168 9.397741 9.404166 9.511088 9.311028
1367475_at 10.166733 10.1899185 10.155291 10.161438 10.138245 10.180426 10.172486 10.211242 10.121513 10.050717 10.302812 10.190887
1367476_at 10.79237 10.998764 10.874682 10.696827 10.758239 10.921448 10.991769 10.94462 11.105138 10.827665 11.036987 11.026804
1367477_at 9.522174 9.963315 9.926055 9.700514 9.594012 9.461661 9.833386 9.603838 9.76091 9.620246 9.715765 9.89968
1367478_at 8.200118 8.215952 8.116152 7.9884024 7.9971147 8.049625 7.9990554 8.194622 8.180115 7.9696465 8.207703 8.143547
1367479_at 10.832611 10.938693 11.0831585 10.91783 10.962584 10.96122 11.041497 10.786509 11.173189 10.877532 10.970122 10.875349
1367480_at 9.416036 9.430962 9.453688 9.265819 9.237297 9.421998 9.298872 9.36179 9.152243 9.379257 9.26713 9.167121
1367481_at 8.606341 8.665466 8.6375265 8.700142 8.814516 8.6311035 8.689674 8.638098 8.826376 8.605929 8.873499 8.833754
1367482_at 9.300972 9.2923765 9.262514 9.253392 9.188335 9.134888 9.391515 9.193915 9.456734 9.266716 9.394695 9.362095
1367483_at 8.312105 8.462889 8.38268 8.282919 8.29114 8.189465 8.259439 8.149242 8.434838 8.20805 8.462704 8.471183
1367484_at 8.964043 8.931147 8.80306 8.606721 8.716448 8.915041 8.878942 8.73327 8.871704 8.676434 8.671089 8.453852
1367485_at 9.45896 9.217492 9.381007 9.324708 9.267908 9.613845 9.53205 9.316706 9.392985 9.441007 9.43048 9.2599
1367486_at 9.567263 9.446585 9.346554 9.509486 9.372432 9.360613 9.559214 9.359308 9.434578 9.409717 9.316768 9.21683
1367487_at 7.35012 7.632717 7.735937 7.7854 7.7390122 7.604889 7.781089 7.568383 7.7236457 7.703725 7.764227 7.6337423
1367488_at 7.8397264 7.9337397 7.72174 7.6828322 7.679446 7.929142 7.6989436 7.8359017 7.7335114 7.449099 7.409907 7.447161
1367489_at 6.6213307 6.8177953 6.5263867 6.7182875 6.580537 6.626358 6.4793024 6.635264 6.641262 6.484382 6.569077 6.469095
1367490_at 6.9795175 6.6895967 6.814875 6.8917894 6.798126 6.934177 6.9070544 6.573094 6.948575 6.7244925 7.113108 6.8242035
1367491_at 8.969079 8.91377 8.889104 8.706199 8.990662 9.05378 8.876752 8.921611 8.87607 9.044622 8.928795 8.897153
1367492_at 8.8482 8.733992 8.892907 8.796579 8.639903 8.734865 8.834441 8.753075 8.804579 8.731205 8.858321 8.730404
1367493_at 9.568218 9.376665 9.66347 9.680168 9.667299 9.711311 9.72382 9.424817 9.578904 9.756912 9.631284 9.419392
1367494_at 9.697745 9.417378 9.6444235 9.579051 9.554924 9.51802 9.693924 9.5394535 9.8209915 9.299411 9.591712 9.684607
1367495_at 6.993343 6.65122 6.9175806 6.6799855 6.953669 6.727539 7.0906453 6.646336 6.860179 6.820385 6.813529 6.7356834
1367496_at 10.981613 11.091831 11.046071 10.92943 11.06126 11.196341 11.218341 11.068269 11.096262 11.279844 11.155013 11.039637
1367497_at 8.385947 8.525029 8.294922 8.354273 8.33029 8.46299 8.429365 8.329973 8.593867 8.141954 8.087914 8.455923
1367498_at 8.474205 8.5504055 8.571438 8.593214 8.525591 8.620556 8.321957 8.46673 8.613334 8.475422 8.518787 8.212048
1367499_at 8.189013 7.972476 8.3636675 8.160292 8.145109 8.403818 8.20923 8.256267 8.186804 8.204485 8.075203 7.9762278
1367500_at 9.6733055 9.745074 9.840408 9.602069 9.648998 9.7922125 9.79008 9.687044 9.694812 9.631724 9.754463 9.640231
1367501_at 8.27944 8.253849 8.2432785 8.231211 8.252892 8.409666 8.118938 8.234903 8.204524 8.2741585 8.257169 8.343585
1367502_at 7.8210096 7.9113617 7.9900093 7.681864 7.9853945 7.995891 8.016977 7.804245 7.9484835 7.9107285 8.103731 7.741105
1367503_at 10.661024 10.680353 10.8109865 10.616055 10.754153 10.610927 10.71777 10.536405 10.804994 10.655546 10.823484 10.528167
1367504_at 8.125723 8.088688 8.059303 8.078136 7.9984584 7.990939 8.070494 8.108045 8.055937 8.205984 7.955025 8.152916
1367505_at 7.647009 7.7386227 7.6586876 7.6124334 7.6809955 7.595737 7.6604347 7.611735 7.6684737 7.5083942 7.7816696 7.7294226
1367506_at 9.212787 9.34292 9.42637 9.229862 9.293343 9.301194 9.434934 9.346143 9.451113 9.366573 9.441619 9.357846
1367507_at 7.085819 7.171056 7.0401564 7.079553 6.9877048 6.876385 7.2690463 7.0525265 7.1606936 7.0491886 7.1455364 6.996567
1367508_at 8.641142 8.514666 8.639489 8.311746 8.49075 8.5034895 8.498808 8.385609 8.490171 8.504549 8.634932 8.44931
1367509_at 9.4083605 9.445305 9.427803 9.141931 9.243523 9.296922 9.343899 9.389931 9.56379 9.282762 9.593108 9.378603
1367510_at 9.280155 9.226717 9.373937 9.103011 9.203274 9.289745 9.326618 9.249215 9.410506 9.159052 9.464555 9.327421
1367511_at 7.9511356 8.021155 7.8653092 8.059194 7.911199 8.045828 8.039891 7.938681 8.110267 8.102532 8.276221 8.02903
1367512_at 10.781708 10.73297 10.90163 10.525382 10.664979 10.772538 10.702676 10.803478 10.829758 10.771774 10.844955 10.82128
1367513_at 7.512695 7.7342367 7.7173924 7.618413 7.757546 7.5735345 7.9390135 7.58695 7.5185127 7.830569 7.582544 7.848924
1367514_at 7.3668594 7.4110603 7.450356 7.2857614 7.3805585 7.5664377 7.4478626 7.3012633 7.4289784 7.4386134 7.5286236 7.367209
1367515_at 7.455617 7.0999217 6.9210963 6.840041 6.68217 7.442221 7.4945655 7.3848495 7.341957 6.987881 7.1741614 7.3059473
1367516_at 8.589664 8.309491 8.485204 8.406724 8.127505 8.411895 8.637652 8.418183 8.579763 8.292999 8.364746 8.431248
1367517_at 7.3430233 7.547237 7.5231023 7.444492 7.3007565 7.418289 7.163951 7.367141 7.255647 7.253443 7.1846933 7.179444
1367518_at 8.3025055 8.383306 8.245718 8.310569 8.409954 8.351704 8.220444 8.336374 8.3576145 8.257211 8.358077 8.246779
1367519_at 8.261515 8.240041 8.019966 8.114061 8.187029 8.188671 8.228831 8.049496 8.241867 8.164675 8.302536 7.998607
1367520_at 9.741071 9.5639105 9.5066185 9.3443575 9.553965 9.342049 9.659715 9.40604 9.431917 9.491137 9.668564 9.574627
1367521_at 6.9815683 7.0027657 6.8210897 7.0384874 6.8189616 6.852882 6.9608746 6.7937407 6.7189584 6.910321 6.773104 6.849887
1367522_at 9.0716915 8.967897 9.22728 9.059095 8.932118 9.021852 9.285834 9.075797 9.162314 8.908563 8.948879 9.16134
1367523_at 7.8752975 8.059715 7.9655538 7.734809 7.7339573 7.7097793 7.73388 7.8441715 7.9099283 7.854233 7.8791933 7.920295
1367524_at 7.3009257 7.455688 7.528221 7.6037645 7.368323 7.2835937 7.4401364 7.386643 7.4966073 7.2563195 7.5590663 7.063231
1367525_at 9.371222 9.35189 9.302145 9.307581 9.224097 9.383489 9.2226925 9.145797 9.253714 9.266859 9.129216 9.232323
1367526_at 8.461331 8.676121 8.675205 8.35257 8.377245 8.366908 8.579216 8.205139 8.550461 8.629457 8.363234 8.353732
1367527_at 7.6138763 7.828766 7.792605 7.6166487 7.3931212 7.894107 7.569657 7.708876 7.6699743 7.5249977 7.6117463 7.4846854
1367528_at 8.670008 8.837455 8.85947 8.490092 8.533089 8.5185995 8.76303 8.569297 8.537849 8.443503 8.599916 8.41063
1367529_at 8.988441 9.041613 8.965926 9.142219 9.080119 9.087191 9.181153 9.06401 9.222769 9.098298 9.082038 9.130648
1367530_at 7.3463173 7.388217 7.4328265 7.439126 7.3612146 7.5155916 7.4150095 7.4507957 7.3211775 7.496938 7.386568 7.4348903
1367531_at 10.619114 10.669992 10.558796 10.570323 10.496195 10.54066 10.555085 10.429277 10.563115 10.322538 10.640394 10.513109
1367532_at 10.941449 10.782156 10.746836 10.67641 10.804949 10.908907 11.012413 10.892529 10.992502 10.817813 11.018491 11.087003
1367533_at 7.8947988 8.171442 7.9192433 8.152402 7.956453 8.0363245 7.878086 7.8168497 8.064938 8.164693 7.931466 7.739504
1367534_at 7.438784 7.2657757 7.514453 7.3868737 7.355148 7.248601 7.3191557 7.5675178 7.655258 7.290261 7.5003257 7.1610494
1367535_at 8.648378 8.715031 8.742401 8.575557 8.917126 8.928325 8.746176 8.762419 8.759051 8.76961 8.787716 8.826692
1367536_at 7.790021 7.6190004 7.649922 7.430912 7.603935 7.4544044 7.4178443 7.579662 7.485484 7.502488 7.572762 7.6393433
1367537_at 7.4131746 7.377236 7.5626426 7.5349946 7.4422336 7.4489565 7.3382626 7.484035 7.350667 7.0124254 7.3760123 7.282894
1367538_at 6.437365 6.8593855 6.541992 6.5648813 6.366989 6.7194057 6.2576604 6.529852 6.4856935 6.568496 6.6036777 6.2249937
1367539_at 8.704699 8.712483 8.597371 8.538604 8.454998 8.572285 8.498749 8.638983 8.606822 8.650207 8.442635 8.308804
1367540_at 6.7641153 7.1885734 7.243875 6.9274874 6.9111505 7.1052384 6.768292 7.2598357 6.9111714 6.658368 7.0657563 6.641644
1367541_at 7.252239 7.5040903 7.322408 7.4225426 7.192637 7.4614916 7.3994126 7.1622567 7.429622 7.4488835 7.6935453 7.611695
1367542_at 7.8066397 7.7085156 7.6922135 7.779535 7.498054 7.7986917 7.709908 7.697452 7.7644362 7.661209 7.8442483 7.554125
1367543_at 8.04904 8.348559 8.294358 8.1160755 8.219446 8.180235 8.424578 8.042683 8.206568 8.283464 8.168812 8.121781
1367544_at 5.9452896 6.0361547 5.944393 6.0515904 5.9234686 6.0312505 5.6832232 6.09689 5.978504 5.794492 6.0507684 5.8159275
1367545_at 7.1915245 7.2585187 7.0912576 6.6832013 6.7595935 7.259796 6.8611307 7.0572057 6.873533 6.85518 6.913712 6.83846
1367546_at 9.906935 10.108758 10.072801 9.853191 9.7280245 10.069063 10.063236 10.010898 10.101851 9.827505 9.985203 9.704214
1367547_at 7.473038 7.4965696 7.681547 7.5514436 7.488616 7.546468 7.4394884 7.614167 7.534538 7.3691835 7.581267 7.311975
1367548_at 8.772815 8.557001 8.467802 8.274914 8.305986 8.662658 8.722846 8.381107 8.426668 8.585825 8.38768 8.219639
1367549_a_at 10.104633 10.0102825 10.087466 10.007614 10.132982 10.162072 10.120766 9.996307 10.030102 10.099399 10.093053 9.696569
1367550_a_at 8.556081 8.557049 8.452421 8.362154 8.2819395 8.542601 8.341153 8.566584 8.56359 8.434335 8.414647 8.691646
1367551_a_at 8.361898 8.574524 8.396776 8.167145 8.211042 8.479783 8.528084 8.193714 8.44154 8.311485 8.529332 8.446056
1367552_at 4.5034275 4.3722153 4.5995016 4.499146 4.6751814 4.548474 4.6194053 4.417717 4.484095 4.7619624 4.5732136 4.4309354
1367553_x_at 12.309763 12.091367 12.222273 12.158323 12.681793 12.1032915 12.940189 12.7675705 11.796531 12.711905 12.262788 12.708695
1367554_at 3.852313 3.959281 3.9951508 3.8780403 4.0012646 3.9047167 4.1532726 3.9214716 3.8165627 3.8685286 4.0631714 4.1600027
1367555_at 14.663037 14.648148 14.709865 14.698438 14.682107 14.67577 14.674649 14.681142 14.696177 14.686906 14.696714 14.664438
1367556_s_at 14.464714 14.47998 14.458875 14.516786 14.595528 14.493231 14.55304 14.450745 14.520707 14.559159 14.49024 14.497487
1367557_s_at 12.882886 12.827027 12.833609 12.994946 12.839872 12.939696 12.796495 12.795398 12.965986 13.002251 12.817532 12.795535
1367558_x_at 2.9994547 3.0057287 3.1026685 3.0394402 3.0751503 3.165148 3.225364 3.0858939 2.9989722 3.0420256 3.2289848 3.0359993
1367559_at 13.327398 13.097815 12.980157 13.058455 13.047252 13.008353 12.999628 13.1499 13.168147 13.076998 13.129654 13.228896
1367560_at 11.8798485 11.902986 11.676256 11.570212 11.831695 12.036206 11.999611 11.749889 11.904556 11.802966 11.912586 12.007808
1367561_at 12.172829 12.250769 12.199975 12.1276245 12.316488 12.270791 12.369483 12.173101 12.296131 12.24828 12.383717 12.253985
1367562_at 8.204396 8.204672 8.161421 8.07896 7.9593177 8.0237 8.253952 8.447002 8.02736 8.303394 8.18143 7.8850756
1367563_at 8.563927 8.822909 8.561366 8.575577 8.493631 8.494125 8.569769 8.723664 8.237767 8.647295 8.63638 8.55315
1367564_at 6.2704935 6.2028027 6.3414516 6.1977 6.3568544 5.9901824 6.679621 6.0996976 6.451429 6.3299026 6.3378158 6.243026
1367565_a_at 13.738716 13.742533 13.785307 13.739807 13.777927 13.825079 13.771963 13.826027 13.852292 13.768317 13.701647 13.69291
1367566_at 4.169877 4.3468094 4.371184 4.2980704 4.0765924 4.2779856 4.3155746 4.291379 4.1884575 4.3055534 4.54027 4.449106
1367567_at 11.736154 12.046251 12.069354 11.769077 11.809639 11.858469 11.928792 11.64387 11.687462 12.055527 11.77696 11.656133
1367568_a_at 8.291696 8.74303 8.123843 8.467142 8.645351 8.273855 8.715312 8.3853 8.891598 9.041372 8.504222 8.751751
1367569_at 11.636901 11.859266 11.657184 11.7049055 11.701383 11.566089 11.844446 11.649392 11.567747 11.7101965 11.836787 11.794349
1367570_at 6.3623886 6.4802327 6.0103893 6.1994867 5.890446 5.978638 7.011879 6.48161 6.3859 6.5305533 6.1037188 6.0599365
1367571_a_at 5.511982 5.7689447 5.5309153 5.469225 5.5015135 5.29099 5.6062174 5.5744905 5.5675993 5.499264 5.6607227 5.70541
1367572_at 5.042551 5.1650763 5.31659 5.1928306 5.232849 5.072872 5.3485947 5.229712 5.104045 5.1102443 5.2744493 5.104458
1367573_at 12.446956 12.522429 12.435424 12.423539 12.509016 12.49501 12.642102 12.420958 12.355959 12.547941 12.596793 12.599556
1367574_at 7.8884106 7.886718 7.8765287 7.5661454 7.512494 8.0954 8.300161 8.1562 7.8157234 8.193683 8.064023 7.6394
1367575_at 11.490034 11.522721 11.287479 11.4962225 11.445261 11.270199 11.410986 11.289547 11.525914 11.429811 11.28256 11.409556
1367576_at 13.795759 13.632746 13.466199 13.67092 13.471434 13.523275 13.689451 13.590541 13.528603 13.575804 13.70734 13.855577
1367577_at 5.3985243 7.5697427 7.3225956 6.112399 7.5562134 6.6149926 6.5371213 6.4465632 6.7088175 6.764202 6.4350815 6.1190844
1367578_at 10.22671 10.300561 10.275486 10.201864 10.326163 10.203788 10.34671 10.19501 10.336348 10.254992 10.296802 10.172002
1367579_a_at 11.028157 11.012987 11.344703 11.375666 11.167042 11.473806 11.350712 11.204601 11.118065 11.337458 11.208906 11.042166
1367580_at 10.85341 11.034836 10.695512 10.848773 10.904702 10.958646 11.11584 10.859078 10.816075 11.044595 11.029206 11.117233
1367581_a_at 5.63352 6.348494 6.078076 5.871399 6.0593414 5.823955 5.62008 6.119513 5.9215627 5.312563 5.860799 5.9572973
1367582_at 11.191425 11.412324 11.173958 11.136284 11.144335 11.240524 11.412005 11.17906 11.220905 11.334726 11.356152 11.323161
1367583_at 13.115094 13.321989 13.166466 13.065844 13.195953 13.179281 13.330637 13.173178 13.173756 13.335371 13.360376 13.216686
1367584_at 7.873657 7.7486997 7.55011 7.5948114 7.6181293 7.4461093 8.022441 7.989385 7.607331 7.94027 7.742864 7.770002
1367585_a_at 10.756596 10.821524 11.023723 11.016738 10.825908 11.140962 10.912446 10.780635 10.9593115 10.821438 10.800526 10.721461
1367586_at 12.9693985 12.768148 12.853317 13.014375 12.731726 12.794988 12.979364 12.9431925 12.971167 12.890064 12.832376 12.829836
1367587_at 3.7028146 3.673461 3.7970085 3.6650047 3.6249382 3.6720357 3.693572 3.5544033 3.6063242 3.6416793 3.7320576 3.928563
1367588_a_at 11.095512 11.290196 11.114659 10.97364 11.140276 11.437576 11.334601 11.208559 11.2567215 11.201449 11.309398 11.047641
1367589_at 9.20964 9.333837 9.391912 9.282336 9.254208 9.195873 9.376334 9.209968 9.290628 9.444335 9.390318 9.307673
1367590_at 10.864457 10.723783 10.72154 10.855965 10.75259 10.778102 11.058986 10.8550205 10.794691 10.9204235 10.778116 10.745482
1367591_at 9.960618 10.039579 9.745784 9.699855 9.806391 9.724336 9.895496 9.744788 10.037023 9.781191 9.9632845 9.900434
1367592_at 3.37387 3.3174195 3.3704507 3.4655368 3.4710126 3.3979535 3.3747199 3.3478088 3.378545 3.540556 3.5823326 3.3283045
1367593_at 8.255508 8.33296 8.09062 8.00122 8.51661 8.480163 8.139456 8.148247 8.402107 8.201717 8.08198 8.687772
1367594_at 9.320284 9.425171 9.309034 9.416897 9.423048 9.238825 9.258165 9.296518 9.193907 9.471132 9.256699 9.16592
1367595_s_at 13.675719 13.545068 13.635533 13.614914 13.637291 13.642192 13.647517 13.692725 13.660898 13.652764 13.622235 13.619708
1367596_at 11.855309 12.150898 12.023089 11.775851 11.9363985 12.269326 12.109166 11.968413 11.954072 12.073601 12.207497 11.987531
1367597_at 11.874469 12.096794 12.023941 11.967765 12.078252 12.075615 12.07391 12.002067 12.054941 12.107298 12.139759 12.021827
1367598_at 14.222433 14.209787 14.168276 14.256717 14.164751 14.210002 14.173979 14.256817 14.227764 14.155775 14.182845 14.26887
1367599_at 12.175842 12.0313 12.225692 12.079336 11.963074 12.225026 12.221595 12.049784 12.347457 12.195385 12.288869 12.006281
1367600_at 5.3141646 5.2980247 5.1812663 5.4076176 5.5463734 5.451157 5.4926257 5.157627 5.455393 5.462125 5.662997 5.3623004
1367601_at 8.674757 8.357512 7.7114015 7.5281243 7.9754395 8.445534 8.372717 7.740938 8.181652 7.1123734 7.8854547 8.028666
1367602_at 9.865328 9.41924 8.950667 8.735647 9.008463 9.409078 9.438645 9.092223 9.18519 8.47263 8.986328 9.307889
1367603_at 11.199096 11.076601 11.138284 11.03217 10.942011 11.0364065 11.017147 10.802796 11.059016 10.876865 10.872714 10.739135
1367604_at 11.134116 11.260926 11.308683 11.295962 11.50159 11.211559 11.168736 11.127914 11.157619 11.129074 11.38392 11.24051
1367605_at 10.48811 10.21112 10.2908745 10.3518305 10.234294 10.242404 10.543424 10.252633 10.419953 10.359066 10.3798895 10.265934
1367606_at 12.084955 12.256853 12.137099 11.972569 12.137273 12.1728325 12.25549 12.030544 12.075247 12.225124 12.225653 12.178128
1367607_at 12.689644 12.705402 12.656049 12.62036 12.406504 12.673758 12.580078 12.452802 12.592461 12.552748 12.649712 12.618755
1367608_at 5.11782 5.29195 5.279007 5.3521004 5.300811 5.309737 5.4658146 5.213249 5.0921774 5.191266 5.1415615 5.1180935
1367609_at 11.404924 11.817532 11.6937 10.885192 11.224473 10.965993 11.888734 10.901414 11.053572 11.484551 11.72631 11.500129
1367610_at 12.315637 12.363348 12.31696 12.180925 12.300046 12.377321 12.402618 12.232113 12.197728 12.411856 12.315476 12.349617
1367611_at 5.337053 5.469432 5.5594316 5.6595244 5.3656387 5.473731 5.527807 5.609058 5.593434 5.5457616 5.5974126 5.7146873
1367612_at 14.085231 13.98751 13.982497 14.055505 13.988418 14.030184 14.015515 14.070863 14.058171 14.043839 14.012976 13.937928
1367613_at 12.769155 12.79698 12.843969 12.729709 12.811229 12.867129 12.79855 12.914767 12.696184 12.777811 12.713505 12.672169
1367614_at 7.168413 7.2311535 7.0673175 7.247346 6.8594937 6.908088 7.5779085 7.4659944 7.2178545 7.2626147 7.1011834 7.159701
1367615_at 4.3421593 4.309717 4.2966657 4.4894123 4.4496083 4.2028856 4.342986 4.2863398 4.46459 4.337038 4.4737577 4.272784
1367616_at 4.3635244 4.660816 4.6428666 4.6089363 4.7308736 4.657976 4.6676316 4.6051655 4.688678 4.8569565 4.6818767 4.6246433
1367617_at 9.47041 9.375143 9.622037 9.259974 9.254593 9.669479 9.616253 9.504252 9.414341 9.390472 9.305466 9.135562
1367618_a_at 11.094122 11.138317 11.205311 11.067636 11.227744 11.24918 11.274504 11.08742 11.06325 11.295296 11.207628 11.122727
1367619_at 12.706017 12.60651 12.569393 12.531635 12.593063 12.49386 12.548598 12.607273 12.641747 12.590704 12.583425 12.45002
1367620_at 12.701304 12.78844 12.9104 12.924876 12.842392 12.85482 12.916011 12.806553 12.922239 12.896597 12.859946 12.732497
1367621_at 8.580294 8.694139 8.594779 8.156582 8.458026 8.456981 8.609548 8.4052 8.472727 8.503922 8.746294 8.493799
1367622_at 12.189231 12.166374 12.202525 12.228975 12.033622 12.081202 12.252878 12.066083 12.22742 12.0567465 12.333669 12.072075
1367623_at 11.858032 11.799223 11.820565 11.8504305 11.778316 11.820504 12.085164 11.721595 11.862878 11.828765 11.965599 11.699657
1367624_at 10.454519 10.440198 10.430887 10.597577 10.407216 10.132783 10.078223 10.534263 10.198373 10.149221 10.518634 10.116098
1367625_at 13.254179 13.363763 13.308215 13.15831 13.328002 13.309205 13.368126 13.210995 13.287453 13.353269 13.327697 13.174966
1367626_at 4.8725286 5.1260448 5.1922746 5.129834 5.220546 5.226415 5.13363 4.9100227 5.0709896 5.124114 5.27494 5.203589
1367627_at 8.370205 8.172911 7.853754 7.791057 7.7506356 7.824354 8.281368 7.9670153 7.7939034 8.199149 8.177645 7.9757833
1367628_at 6.1213856 5.963726 6.156579 5.802151 5.8260455 5.5303526 6.2989483 6.0376806 6.0062017 6.0157943 6.0255737 6.0975575
1367629_at 11.891637 11.985828 12.25506 12.105681 11.876348 12.005169 11.991788 11.856374 12.095522 11.985958 12.111987 11.948346
