ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12
Dose 0 0 0 20 20 20 60 60 60 200 200
1367452_at 10.444494 10.413716 10.385753 10.525491 10.568671 10.466794 10.39348 10.304566 10.387313 10.454559 10.458668
1367453_at 10.208203 10.214976 10.11753 10.260894 10.271279 10.212872 10.319865 10.240729 10.287771 10.344771 10.239465
1367454_at 9.956245 10.019836 9.916833 9.939621 10.118001 9.901663 10.105942 9.945951 9.992709 10.06335 10.159121
1367455_at 11.412797 11.610421 11.648744 11.6022 11.419308 11.478229 11.617353 11.595203 11.715016 11.621731 11.5503
1367456_at 11.839689 11.887826 11.884155 11.7956705 11.80344 11.7312975 11.888161 11.757155 11.798623 11.876709 11.928885
1367457_at 9.118924 9.254715 9.1723795 9.275398 9.191248 9.156575 9.2314415 9.211893 9.34654 9.177432 9.4699135
1367458_at 8.499588 8.288405 8.453302 8.472956 8.36197 8.501781 8.472613 8.409145 8.436707 8.504494 8.425245
1367459_at 12.209986 12.14076 12.17071 12.161706 12.109353 12.128432 12.107845 12.095466 12.123127 12.183486 12.225552
1367460_at 11.523733 11.678623 11.614336 11.550987 11.533466 11.402664 11.548466 11.515263 11.513776 11.524182 11.581717
1367461_at 10.358193 10.405993 10.248526 10.426567 10.410215 10.12084 10.311402 10.272461 10.462149 10.281746 10.267832
1367462_at 10.864662 10.598331 10.609127 10.708089 11.072712 10.90834 10.622975 10.740017 10.760051 10.380577 10.544729
1367463_at 11.1388445 11.253633 11.070446 11.184082 11.234106 10.942809 11.291407 11.18037 10.913598 11.478895 11.436086
1367464_at 9.816729 9.868148 9.849072 9.971572 9.958455 9.768047 9.896644 9.80917 9.884641 9.982737 9.995214
1367465_at 10.350128 10.264371 10.376858 10.194455 10.486622 10.336197 10.2606125 10.426418 10.26015 10.235264 10.550774
1367466_at 9.990558 10.276097 10.070474 10.061068 10.203509 10.020269 10.110599 10.056611 10.058608 10.0890465 10.144705
