ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 100 100 100 300 300 300 1000 1000 1000
1367452_at 10.304893 10.471847 10.304465 10.321442 10.339647 10.338171 10.381665 10.334425 10.37423 10.507249 10.289048 10.245833
1367453_at 10.052549 10.145369 9.985758 9.93023 9.943545 9.970519 9.904933 9.805936 9.637097 9.93432 9.990688 9.996627
1367454_at 9.8953705 9.825351 9.913862 9.926068 9.756581 10.139834 9.870332 10.160308 10.004588 9.832443 9.740344 9.774424
1367455_at 11.355937 11.420493 11.362405 11.377286 11.197777 11.552468 11.490685 11.759821 11.40646 11.228179 11.352058 11.352137
1367456_at 11.832352 11.812008 11.793486 11.77269 11.798532 11.795657 11.766885 11.719425 11.826061 11.775201 11.761598 11.751109
1367457_at 9.192067 9.159099 9.213611 9.182621 9.00223 8.905369 9.169896 9.124543 9.173574 9.140591 9.017143 9.108363
1367458_at 8.378645 8.401192 8.356937 8.360416 8.397931 8.419274 8.451682 8.206964 8.304489 8.259159 8.428888 8.449404
1367459_at 12.055143 12.07575 11.972045 12.021554 12.049372 12.192415 12.041258 12.072899 12.083105 12.077887 12.006363 12.035068
1367460_at 11.309259 11.338824 11.371047 11.421594 11.315928 11.465321 11.236933 11.498743 11.484969 11.408385 11.304325 11.281015
1367461_at 10.223729 10.224302 10.260522 10.300113 10.063492 10.3836975 10.336233 10.38558 10.302824 10.242737 10.041295 10.077709
1367462_at 10.47967 10.503329 10.438557 10.546675 10.429989 10.386842 10.591018 10.449907 10.460801 10.574575 10.343498 10.804755
1367463_at 10.974058 11.0415125 11.162316 11.273547 11.022833 11.106754 10.976978 11.221494 11.032272 11.19853 10.694758 10.653287
1367464_at 9.430009 9.557369 9.528191 9.425719 9.362319 9.722204 9.500826 9.631748 9.509318 9.549552 9.388277 9.500471
1367465_at 10.285462 10.251132 10.190242 10.327479 10.444312 10.243839 10.426518 10.217202 10.331307 10.429987 10.367918 10.428522
1367466_at 10.022223 10.117571 10.156165 9.97174 9.9483185 10.13346 9.977798 10.271755 10.184011 9.813834 9.867779 9.897202
1367467_at 11.512576 11.46508 11.54091 11.531672 11.681314 11.67041 11.546781 11.736755 11.752128 11.627473 11.616235 11.610041
1367468_at 9.717942 9.842787 9.870918 10.181991 9.811733 9.881911 9.860583 9.847674 9.956698 9.836148 9.720484 9.74917
1367469_at 12.018599 11.973151 12.015422 11.891634 11.787624 11.725371 11.958511 11.715652 11.643167 11.796019 11.779157 11.821384
1367470_at 10.017668 10.042552 10.060128 9.905614 10.019 10.335891 10.153913 10.270814 10.149231 10.073144 10.022995 9.837838
1367471_at 8.856535 8.867638 8.956176 8.919737 8.896919 9.00251 8.953499 8.933325 9.018149 8.932264 8.987307 8.994521
1367472_at 10.258087 10.256402 10.196971 10.14387 10.071291 10.364803 10.052191 10.389946 10.259165 9.963473 10.026999 10.060182
1367473_at 10.115401 10.2267885 10.129533 10.189398 10.058103 9.9670315 10.029141 9.969918 9.973041 10.041539 10.0457325 10.043006
1367474_at 9.744763 9.798074 9.6901455 9.715183 9.535258 9.708669 9.864826 9.870712 9.782815 9.726189 9.734803 9.687274
1367475_at 10.639536 10.52593 10.527844 10.630452 10.501584 10.537404 10.719953 10.620933 10.643652 10.638254 10.512628 10.600366
1367476_at 11.242213 11.146024 11.204566 11.222093 11.291097 11.273338 11.26115 11.207794 11.289184 11.444231 11.13242 11.218362
1367477_at 9.964683 10.091607 9.861933 9.961102 10.175264 10.304218 10.087301 10.294166 10.319775 10.057418 10.081297 10.140843
1367478_at 7.791742 7.898577 7.860649 7.769454 7.9243402 8.073866 7.9297037 7.973836 8.091782 7.868546 7.829824 7.8947334
1367479_at 11.317705 11.445645 11.209387 11.284052 11.405275 11.3336315 11.282163 11.414643 11.355891 11.317223 11.173406 11.25588
1367480_at 9.396704 9.556056 9.529316 9.3870325 9.398581 9.709727 9.483769 9.564202 9.591439 9.54253 9.342899 9.241971
1367481_at 9.291393 9.362649 9.278184 9.3917675 9.382206 9.666254 9.301657 9.645612 9.668729 9.290581 9.0613785 9.125494
1367482_at 9.655828 9.75322 9.595696 9.80919 9.599405 9.60769 9.693329 9.733145 9.661843 9.644573 9.557923 9.672742
1367483_at 8.646355 8.557562 8.686062 8.830221 8.869886 9.012375 8.892416 8.986168 9.1208 8.824097 8.696028 8.62307
1367484_at 9.24073 9.283186 9.395098 9.320573 9.177755 9.251554 9.348627 9.242051 9.357214 9.431066 9.26356 9.368562
1367485_at 9.989925 9.997291 10.101035 9.939155 9.926932 9.946978 10.003061 9.938108 9.904003 10.017109 9.746108 9.816516
1367486_at 9.498333 9.5357895 9.511985 9.502546 9.304093 9.84776 9.447494 9.745542 9.836784 9.476569 9.485013 9.564541
1367487_at 7.689847 7.7221537 7.4855337 7.5239787 7.5961876 7.3500695 7.643484 7.525782 7.4715123 7.5185647 7.397391 7.620245
1367488_at 7.904264 8.106043 8.110781 7.8948097 7.8025036 7.9514823 8.0109 8.117527 8.14403 7.904725 7.8981338 7.8204985
1367489_at 6.488012 6.598197 6.553345 6.5368733 6.6183443 6.622499 6.550933 6.4437594 6.453018 6.65138 6.620375 6.3328547
1367490_at 7.1343837 7.201552 7.2694283 7.35487 7.076793 7.47209 7.1935797 7.611424 7.3543725 7.109927 7.278411 7.010651
1367491_at 9.211409 9.396913 9.211733 9.203548 9.116055 9.319486 9.33666 9.042668 9.258014 9.2176695 9.222579 9.048964
1367492_at 8.992918 9.001656 9.019864 9.0061655 9.083104 9.072823 9.004293 9.121792 9.076765 9.076879 8.962835 9.019499
1367493_at 9.338457 9.388841 9.311715 9.507364 9.349855 9.766732 9.288055 9.667039 9.448355 9.520209 9.359501 9.300868
1367494_at 9.792964 10.044884 9.906775 9.848978 9.837798 10.092217 10.022086 9.947937 10.039412 10.067356 9.849719 9.849777
1367495_at 7.4344397 7.6112967 7.520157 7.615291 7.3608813 7.3978143 7.676279 7.6863575 7.700629 7.649116 7.3798366 7.2675967
1367496_at 11.26748 11.153203 11.213939 11.283969 11.212065 11.287146 11.175936 11.256857 11.239371 11.210214 11.21114 11.310898
1367497_at 8.605745 8.553556 8.76016 8.555277 8.641615 8.690442 8.609931 8.481769 8.605755 8.615044 8.412799 8.491993
1367498_at 8.68778 8.929727 8.793306 8.712009 8.586356 8.7987385 8.916668 9.108345 9.038243 8.638177 8.709859 8.346606
1367499_at 8.112658 8.355976 8.202171 8.265459 8.070757 8.389177 8.232597 8.144241 8.03137 8.187517 8.005659 8.036329
1367500_at 10.4311075 10.342236 10.376876 10.4430895 10.365037 10.276054 10.4838915 10.3593445 10.420092 10.604061 10.37459 10.3307705
1367501_at 8.451569 8.562147 8.514378 8.347746 8.3492 8.812187 8.523766 8.897255 8.773225 8.404563 8.334932 8.483905
1367502_at 8.565631 8.611847 8.489438 8.568773 8.538298 8.748263 8.650949 8.514472 8.532417 8.636607 8.43536 8.477181
1367503_at 10.821568 10.952428 10.853607 10.836026 10.869579 11.26452 10.641253 11.05938 11.063562 10.865961 10.877946 10.835511
1367504_at 8.115414 8.203653 8.285112 8.244375 8.211449 8.043285 8.350592 7.9929414 8.377354 8.226515 7.974138 8.327747
