ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 15 15 15 50 50 50 150 150 150
1367452_at 10.283049 10.27942 10.141893 10.351253 10.168225 10.226812 10.318296 10.336565 10.314742 10.292646 10.28846 10.165037
1367453_at 10.092205 10.100189 9.988783 10.03957 10.067074 10.059363 9.969951 9.966809 9.983722 10.026274 9.996507 9.871068
1367454_at 9.894784 10.062959 10.000571 9.914058 10.040297 10.026988 9.911696 9.903184 9.936125 9.857911 10.027568 9.887179
1367455_at 11.285954 11.378298 11.385831 11.307573 11.4144945 11.327374 11.396872 11.227168 11.380373 11.446728 11.290756 11.289674
1367456_at 11.804617 11.7767725 11.807731 11.7909155 11.806867 11.825494 11.868489 11.808854 11.897421 11.953216 11.790175 11.769185
1367457_at 9.010033 9.15892 9.193884 9.115313 9.117411 9.094974 9.120549 9.315635 9.132055 9.234637 9.126772 9.121533
1367458_at 8.519699 8.4463625 8.355496 8.428211 8.475837 8.346363 8.411423 8.500403 8.474221 8.52437 8.469214 8.288396
1367459_at 12.0372305 12.085101 11.969986 12.037509 12.031994 12.024416 12.058309 11.98484 12.130597 12.03544 12.028219 12.014175
1367460_at 11.435396 11.455969 11.505458 11.459146 11.472805 11.461517 11.277252 11.425644 11.501736 11.42071 11.252663 11.47055
1367461_at 10.084924 10.154924 10.141423 10.2472725 10.355991 10.156039 10.229345 10.236038 10.098464 10.195404 10.112907 10.369776
1367462_at 10.788784 10.696565 10.1954975 10.570602 10.493613 10.771629 10.199332 10.321594 10.338375 10.383618 10.719239 10.400863
1367463_at 10.85094 11.286624 11.318078 11.047965 11.091186 10.911274 11.136197 11.403083 10.806019 11.230521 11.345975 11.280308
1367464_at 9.543236 9.610347 9.558334 9.441055 9.569696 9.521511 9.540222 9.589916 9.585104 9.477473 9.425526 9.412447
1367465_at 10.535739 10.428041 10.110516 10.438112 10.262759 10.457921 10.284908 10.424582 10.270698 10.194329 10.480478 10.219647
1367466_at 9.999678 10.163208 10.222968 9.996583 10.202524 10.093889 10.148148 10.115014 10.083148 10.165518 10.074923 10.132346
1367467_at 11.70562 11.586007 11.437733 11.652523 11.503169 11.613697 11.609219 11.588005 11.594206 11.532844 11.614861 11.461485
1367468_at 10.0134325 10.175624 9.889816 10.099431 10.092479 9.964656 10.034968 10.261508 10.092745 9.96157 10.020505 10.011588
1367469_at 11.8283615 11.922212 11.936447 11.838484 11.907674 11.914347 11.819514 11.964651 11.971938 11.934132 11.789314 11.787919
1367470_at 9.954894 10.071881 10.110157 9.965338 10.106646 10.115165 9.908803 9.947871 10.050684 9.911857 9.8117 9.992461
1367471_at 9.026714 9.06585 8.974233 9.049132 8.976441 9.042768 8.895349 9.155141 9.002704 9.00785 9.0556755 9.045326
1367472_at 10.184598 9.984506 10.252987 10.165666 10.19556 10.0439825 10.155273 10.099216 10.057119 10.105518 10.1254015 10.148262
1367473_at 10.145463 10.060535 10.081827 10.060632 10.013689 10.021944 10.047794 10.047874 9.942589 10.074804 10.13203 10.07592
1367474_at 9.800904 9.762828 9.615354 9.604266 9.713718 9.7619295 9.670226 9.590142 9.626981 9.728225 9.850365 9.768079
1367475_at 10.393054 10.621462 10.556111 10.487679 10.541439 10.622789 10.363231 10.570259 10.524532 10.486354 10.528357 10.473376
1367476_at 11.309416 11.147714 11.065392 11.273032 11.145412 11.020378 11.017378 11.171562 11.23989 11.236671 11.150972 11.187049
1367477_at 10.269087 10.212847 9.884387 10.186694 9.899187 10.1273985 10.05813 10.221382 10.212641 9.907606 10.055634 10.247764
1367478_at 7.848907 8.0298815 8.122655 7.8305597 7.8630214 7.687955 7.83667 7.9424443 7.922644 7.8283825 7.9785976 7.9232674
1367479_at 11.369106 11.314582 11.121995 11.312261 11.133337 11.33152 11.212266 11.382582 11.347534 11.194401 11.35087 11.195832
1367480_at 9.340424 9.47954 9.393025 9.316076 9.3590555 9.366965 9.505984 9.451849 9.394851 9.4479475 9.451345 9.444048
1367481_at 9.501914 9.525468 9.3622675 9.341945 9.337683 9.338521 9.371478 9.520529 9.443911 9.378546 9.4858885 9.456924
1367482_at 9.708296 9.748245 9.480306 9.777643 9.557779 9.622875 9.497489 9.611084 9.793735 9.578356 9.482969 9.459184
1367483_at 8.878793 8.939167 8.783419 8.880657 8.896656 8.729521 8.828787 8.884467 8.940931 8.799453 8.889175 8.681231
1367484_at 9.411121 9.323475 9.04804 9.30531 9.19989 9.234506 9.095924 9.259503 9.291011 9.146456 9.226846 9.172228
1367485_at 9.805079 9.872339 9.983412 9.889367 10.049751 10.013346 9.901331 9.954161 10.024216 10.045052 9.942144 9.736025
1367486_at 9.745413 9.655377 9.701631 9.696161 9.603266 9.626565 9.539405 9.677229 9.422953 9.716282 9.661111 9.437744
1367487_at 7.3577604 7.671418 7.4934587 7.5844984 7.489875 7.603729 7.5928884 7.437331 7.6715455 7.524371 7.458479 7.3561425
1367488_at 7.839759 7.9929533 7.9418015 7.924999 7.9130387 8.002469 7.997628 7.852179 8.049083 7.8289666 8.001511 7.9411798
1367489_at 6.5140347 6.3597827 6.3836 6.6079 6.332165 6.4666867 6.852396 6.5070744 6.465118 6.564911 6.3692555 6.4619145
1367490_at 7.14592 7.273514 7.3018517 7.2293835 7.2352343 7.3298883 7.10851 7.137093 7.1748548 7.268778 7.45302 7.252296
1367491_at 9.029328 9.307996 9.404162 9.197079 9.279926 9.31688 9.262877 9.301272 9.295985 9.284537 9.2077875 9.258354
1367492_at 9.045166 9.030995 9.059117 9.106733 9.018538 9.072026 8.971175 9.11586 9.089952 8.965846 9.089068 9.056964
1367493_at 9.437611 9.414742 9.3092375 9.351673 9.3950615 9.299668 9.427867 9.483564 9.370985 9.4527445 9.484077 9.38626
1367494_at 10.021647 9.929178 9.830254 9.803731 9.810411 9.888027 9.892379 9.977746 9.794833 9.914815 9.931924 9.91215
1367495_at 7.658949 7.5207014 7.0951567 7.5289793 7.210486 7.3887672 7.368499 7.608766 7.594199 7.505311 7.5287604 7.43648
1367496_at 11.177549 11.258847 11.33382 11.276782 11.324057 11.398383 11.232333 11.2547655 11.286175 11.314797 11.299586 11.172497
1367497_at 8.660802 8.787548 8.6513195 8.708009 8.48029 8.725196 8.444135 8.626649 8.667122 8.610344 8.341354 8.341946
1367498_at 8.704764 8.6797085 8.679786 8.520598 8.640241 8.95158 8.565108 8.57012 8.669614 8.595986 8.452819 8.850188
1367499_at 8.365755 8.2266865 8.052435 8.056791 8.334931 8.061232 8.168013 8.049728 8.17416 8.074553 8.1951275 8.090401
1367500_at 10.472523 10.532373 10.159414 10.290437 10.401185 10.307329 10.371748 10.380798 10.459447 10.178392 10.359742 10.353189
