ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 100 100 100 300 300 300 1000 1000 1000
1367452_at 10.321237 10.373615 10.364324 10.457456 10.353885 10.377484 10.133383 10.39461 10.412301 10.319215 10.292596 10.269208
1367453_at 10.069458 10.082942 10.17797 10.29211 10.244711 10.300439 10.074114 10.340121 10.245129 10.260795 10.220544 10.140593
1367454_at 10.206718 10.176663 10.297778 10.254564 10.170334 10.229099 10.24924 10.116479 10.086253 10.162825 10.336681 10.24372
1367455_at 11.623431 11.615835 11.556581 11.593831 11.649798 11.561528 11.520298 11.548319 11.541381 11.694949 11.49802 11.626727
1367456_at 11.805908 11.801181 11.877483 11.902666 11.891633 11.857284 11.878493 11.9375305 11.87918 11.926361 11.794189 11.781026
1367457_at 9.320621 9.324065 9.37874 9.34115 9.427336 9.344743 9.245205 9.298487 9.33283 9.206491 9.274433 9.246492
1367458_at 8.210295 8.412718 8.371104 8.441976 8.476856 8.483164 8.3251095 8.328294 8.342041 8.553406 8.347076 8.338192
1367459_at 12.2521105 12.232983 12.241296 12.172352 12.250299 12.253009 12.192701 12.232178 12.169711 12.19479 12.22468 12.139052
1367460_at 11.592809 11.670827 11.692957 11.660315 11.635314 11.523027 11.466761 11.657841 11.603053 11.699439 11.667347 11.584388
1367461_at 10.309858 10.645598 10.589525 10.5041685 10.573508 10.50413 10.516911 10.517125 10.398817 10.54502 10.59393 10.424505
1367462_at 10.521627 10.519487 10.291821 10.547184 10.781624 10.347252 10.413463 10.254887 10.239002 10.545372 10.351994 10.550083
1367463_at 11.092941 11.007203 11.330046 11.000108 11.302714 11.307729 11.112753 11.166533 11.106881 11.496304 11.333023 11.151769
1367464_at 9.758711 9.735428 9.737196 9.887491 9.704313 9.77452 9.6238575 9.89382 9.843013 9.8630085 9.725618 9.859289
1367465_at 10.444451 10.309621 10.217583 10.375521 10.409755 10.225286 10.130668 10.220106 10.131618 10.193449 10.199201 10.307674
1367466_at 10.194642 10.241267 10.325903 10.247182 10.308891 10.226272 10.256892 10.355588 10.248553 10.230422 10.298613 10.362937
1367467_at 11.578722 11.595855 11.689972 11.592172 11.571799 11.689777 11.668827 11.66029 11.573615 11.783337 11.715534 11.530041
1367468_at 9.92 10.044115 9.939667 9.999072 10.119181 9.981518 9.9519825 10.116544 10.256638 10.19295 10.184811 10.092902
1367469_at 11.861787 11.9207945 11.881042 11.926292 12.011491 12.004815 11.922612 11.893335 11.722789 11.874133 11.92995 11.907047
1367470_at 10.29989 10.309689 10.443223 10.306853 10.266097 10.280281 10.233696 10.237554 10.340598 10.297491 10.361973 10.283514
1367471_at 9.297881 9.129507 9.137783 9.034266 9.278533 9.18243 9.096402 9.229886 9.1827545 9.122856 9.101179 9.103241
1367472_at 10.281723 10.374907 10.373026 10.330967 10.308205 10.396549 10.290388 10.3348675 10.326166 10.33326 10.357247 10.341218
1367473_at 10.057952 10.063757 10.019469 10.041672 10.041855 9.958835 10.01936 10.084818 10.046618 10.213145 10.009 9.824911
1367474_at 10.033744 9.932941 9.964187 10.063016 9.916474 9.909324 9.857741 9.949862 9.668761 10.091286 10.021831 10.064149
1367475_at 10.518015 10.543743 10.569985 10.640114 10.649644 10.51402 10.50643 10.539859 10.578847 10.519943 10.548446 10.565925
1367476_at 11.331677 11.240789 11.380186 11.268102 11.362503 11.350683 11.346411 11.416639 11.116515 11.389515 11.36842 11.236733
1367477_at 10.193047 10.293755 10.211915 10.394499 10.275381 10.178757 10.116618 10.421797 10.232338 10.374964 10.126223 10.203517
1367478_at 7.9062963 7.960104 7.8421903 8.155043 8.0085335 7.8594394 7.85427 8.010824 8.085474 8.015764 8.024147 7.9992976
1367479_at 11.156724 11.282422 11.151339 11.244281 11.269997 11.212007 11.157856 11.17481 11.258957 11.168149 11.133812 11.073424
1367480_at 9.496912 9.68328 9.716598 9.731863 9.684473 9.561787 9.484195 9.627528 9.723093 9.678226 9.686293 9.547333
1367481_at 9.545608 9.473729 9.528888 9.56829 9.485893 9.470065 9.493249 9.621411 9.6873255 9.545382 9.505452 9.458426
1367482_at 9.509027 9.719599 9.615855 9.77196 9.73065 9.628261 9.473038 9.673373 9.755124 9.633542 9.605659 9.552854
1367483_at 8.93358 9.046457 9.01763 8.886691 8.933094 8.985348 8.92856 9.087824 9.138256 8.863569 9.0798435 8.979526
1367484_at 9.332421 9.457548 9.394258 9.4372015 9.594681 9.2584505 9.344782 9.409327 9.301983 9.528294 9.388828 9.441164
1367485_at 10.149725 10.132043 10.180009 10.089011 10.215131 10.105233 10.126212 10.100903 10.239756 10.095918 10.226646 10.014126
1367486_at 9.679027 9.740426 9.74113 9.815833 9.505177 9.710295 9.769752 9.825601 9.720874 9.691104 9.602521 9.721596
1367487_at 7.5077753 7.459161 7.525714 7.651169 7.6996665 7.503973 7.6135616 7.590036 7.579552 7.591019 7.6199956 7.5828147
1367488_at 8.138542 8.1049595 7.939058 8.082634 8.091097 8.081524 8.193996 8.0301075 8.024055 8.036346 8.373957 8.267715
1367489_at 6.7032437 6.6102734 6.571768 6.7213807 6.9444814 6.7134376 6.585103 6.65098 6.636185 7.008449 7.0922623 6.543117
1367490_at 7.674726 7.682862 7.475663 7.6799126 7.3362255 7.496238 7.5065947 7.507781 7.552181 7.6205025 7.6773634 7.4928894
1367491_at 9.448089 9.522732 9.482391 9.625485 9.659188 9.491032 9.406736 9.568307 9.365019 9.59069 9.437178 9.360394
1367492_at 9.217345 9.129681 9.135081 9.021215 9.167648 9.000536 9.050054 9.172808 9.085159 9.169426 9.151802 9.059383
1367493_at 9.397014 9.702653 9.639709 9.625718 9.454845 9.415775 9.420268 9.47748 9.5424 9.399187 9.460896 9.414566
1367494_at 9.893283 9.993784 10.050797 10.094919 10.143314 9.988564 9.961958 9.970903 10.155112 10.1327305 10.003669 9.964116
1367495_at 7.6658235 7.975157 7.816445 7.845145 7.750037 7.573307 7.590761 7.768806 7.746861 7.753412 7.924224 7.609919
1367496_at 11.526984 11.343005 11.337661 11.457685 11.373717 11.455444 11.39142 11.340434 11.373288 11.353099 11.352387 11.406798
1367497_at 9.09871 8.898863 8.950533 9.003254 8.955619 8.888711 9.015889 8.890057 8.97548 8.973818 8.931106 8.960993
1367498_at 9.043542 9.128812 9.14566 8.836844 9.004354 9.026841 8.963147 8.835406 8.993632 8.924519 9.317231 8.986964
1367499_at 8.19165 8.209623 8.134676 8.149937 8.19059 8.221951 8.10952 8.109423 8.1081295 8.14698 8.238873 8.082216
1367500_at 10.194897 10.317925 10.204445 10.268637 10.281659 10.134124 10.128399 10.189601 10.237248 10.244845 10.23843 10.168535
1367501_at 8.738196 8.753646 8.700203 8.767688 8.673405 8.599598 8.565102 8.686729 8.721629 8.835299 8.659274 8.742842
1367502_at 8.688069 8.651431 8.734079 8.73634 8.868959 8.786806 8.713281 8.872212 8.706104 8.792081 8.889625 8.76284
1367503_at 11.07145 11.137429 11.154423 11.203437 11.165468 11.158153 11.155556 11.29301 11.159192 11.116114 11.087901 11.166131
