ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 50 50 50 150 150 150 500 500 500
1367452_at 10.477797 10.428789 10.3693 10.411987 10.461972 10.367645 10.561036 10.434787 10.466282 10.470237 10.682738 10.387486
1367453_at 10.052909 10.031526 10.122413 10.201535 10.075716 10.059357 10.184499 10.083329 10.226293 10.491548 10.2806425 10.528326
1367454_at 10.216743 10.196772 10.0942135 10.26415 10.045694 10.148727 10.16314 10.224064 10.126929 10.464148 10.545393 10.324967
1367455_at 11.49145 11.279193 11.354948 11.375179 11.399805 11.458103 11.418065 11.3379755 11.321814 11.579867 11.453958 11.569711
1367456_at 12.163841 12.161792 12.077735 12.1426935 12.15795 12.115342 12.232231 12.153569 12.143332 12.417733 12.4013195 12.264684
1367457_at 9.074107 9.0786295 9.0860195 9.107067 9.234767 9.244884 9.253247 9.171647 9.121861 9.185261 9.211175 9.031948
1367458_at 8.157448 8.16275 8.035073 8.081227 8.081848 8.222544 8.230893 8.090535 8.073495 8.01613 8.324228 8.014288
1367459_at 12.393488 12.343248 12.322945 12.308969 12.383057 12.448583 12.4212265 12.263434 12.295341 12.791503 12.635541 12.620819
1367460_at 11.537702 11.494517 11.503879 11.620271 11.572475 11.447772 11.681621 11.460181 11.504243 11.704904 11.70604 11.589246
1367461_at 10.784214 10.988535 10.80288 10.824379 10.837166 10.747185 10.871984 10.695261 10.783123 10.794732 10.922281 10.719746
1367462_at 9.9272375 10.285601 10.338437 10.351951 10.032729 10.145108 10.017272 10.24974 10.297797 10.246404 10.573553 10.399636
1367463_at 11.403714 11.2114935 11.086812 11.386989 11.034806 11.351006 11.3329935 11.142749 11.140599 11.397041 11.533058 11.339694
1367464_at 9.458714 9.453153 9.547129 9.374398 9.454466 9.416641 9.351958 9.393387 9.33568 9.329779 9.419775 9.25855
1367465_at 10.140013 10.209918 10.175142 10.2809725 10.213791 10.113712 9.992243 10.169047 10.360449 10.170185 10.220821 10.112682
1367466_at 10.541275 10.559517 10.4377575 10.350671 10.569708 10.412447 10.48686 10.398173 10.612395 10.601719 10.67919 10.65349
1367467_at 11.459755 11.498413 11.532721 11.556434 11.450329 11.49239 11.515165 11.636211 11.476984 11.698006 11.65558 11.535053
1367468_at 9.951757 10.094601 10.047561 9.98245 10.104363 9.86769 9.947564 9.895147 9.931018 9.869756 9.975951 9.823523
1367469_at 12.083087 12.012255 11.820309 11.831823 12.062823 12.069342 12.2918005 11.970177 11.855309 11.948663 12.113496 12.093282
1367470_at 10.344313 10.296017 10.268211 10.283165 10.198501 10.316457 10.259144 10.220429 10.23523 10.355691 10.082582 10.180782
1367471_at 9.077509 9.223248 9.2289505 9.1762085 9.39923 9.015778 9.267059 9.201704 9.191757 9.521549 9.626493 9.434167
1367472_at 10.314547 10.203153 10.183132 10.288831 10.118035 10.195118 10.189392 10.248925 10.140937 10.163344 10.325399 10.258067
1367473_at 10.013347 9.968333 9.963782 9.924018 9.965794 9.987582 10.103801 9.762208 9.733234 10.305438 10.2489195 10.1534605
1367474_at 9.527294 9.654308 9.526952 9.466612 9.498822 9.422008 9.615921 9.553104 9.533423 9.217208 9.469008 9.178854
1367475_at 10.716234 10.795507 10.701243 10.704422 10.810216 10.686787 10.77261 10.735744 10.693238 10.628516 10.640446 10.898316
1367476_at 11.417879 11.410915 11.475275 11.428787 11.380755 11.467505 11.484728 11.547233 11.378231 11.459776 11.65797 11.461914
1367477_at 10.264063 10.417942 10.23379 10.335088 10.357643 10.104114 10.0987215 10.211975 10.296345 10.665716 10.58309 10.477691
1367478_at 7.7242837 7.87641 7.9635715 7.954959 7.895139 7.7822523 8.028491 7.9120364 7.9651914 7.82334 7.7781196 7.5937314
1367479_at 11.39092 11.332854 11.349711 11.3701315 11.401995 11.3978815 11.378174 11.393311 11.511371 11.624031 11.552923 11.607863
1367480_at 10.061855 9.940714 9.940387 9.858825 9.954547 9.812491 9.988062 9.974073 9.995334 10.080375 10.150962 9.922068
